"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","provincial_capital"
"11","Kunarha","کنرها","کنرها","1105","05","SAR KANI","SAR KANI","سرکانی","NO"
"11","Kunarha","کنرها","کنرها","1106","06","MURWARA","MURWARA","مروره","NO"
"11","Kunarha","کنرها","کنرها","1107","07","DANGAM","DANGAM","دانگام","NO"
"11","Kunarha","کنرها","کنرها","1108","08","BAR KUNAR","BAR KUNAR","برکنر","NO"
"11","Kunarha","کنرها","کنرها","1109","09","SHIGAL-WA-SHELTAN","SHIGAL-WA-SHELTAN","شیگل وشلتن","NO"
"11","Kunarha","کنرها","کنرها","1111","11","NOOR GOOL","NOOR GOOL","نورگل","NO"
"11","Kunarha","کنرها","کنرها","1112","12","CHAWKI","CHAWKI","حوکی","NO"
"11","Kunarha","کنرها","کنرها","1113","13","KHAS KUNAR","KHAS KUNAR","خاص کنر","NO"
"11","Kunarha","کنرها","کنرها","1114","14","NARAI","NARAI","نرئی","NO"
"11","Kunarha","کنرها","کنرها","1115","15","GHAZI ABAD","GHAZI ABAD","غازی آباد","NO"
"12","Laghman","لغمان","لغمان","1201","01","PROVINCIAL CENTER (MEHTERLAM)","PROVINCIAL CENTER (MEHTERLAM)","مرکزلغمان - مهترلام","YES"
"12","Laghman","لغمان","لغمان","1202","02","QARGHAI","QARGHAI","قرغه ئی","NO"
"12","Laghman","لغمان","لغمان","1203","03","ALINGAR","ALINGAR","علینگار","NO"
"12","Laghman","لغمان","لغمان","1204","04","ALISHING","ALISHING","علیشنگ","NO"
"12","Laghman","لغمان","لغمان","1205","05","DAWLAT SHAH","DAWLAT SHAH","دولت شاه","NO"
"13","Nooristan","نورستان","نورستان","1301","01","PROVINCIAL CENTER (NOORISTAN)","PROVINCIAL CENTER (NOORISTAN)","مرکز نورستان - پارون","YES"
"13","Nooristan","نورستان","نورستان","1302","02","NOOR GRAM","NOOR GRAM","نورگرام","NO"
"13","Nooristan","نورستان","نورستان","1304","04","WAIGAL","WAIGAL","وایگل","NO"
"13","Nooristan","نورستان","نورستان","1305","05","WAMA","WAMA","واما","NO"
