province_code,district_code,district_number,matched_to_2012_AGCHO_district_code,matched_to_2018_422_AGCHO_district_code,district_name_eng,district_name_dari,district_or_subdivision_name_eng,provincial_capital
28,2803,3,3306,,SHAH WALI KOT,شاه ولي كوټ,SHAH WALI KOT,NO
28,2804,4,3302,,ARGHANDAB (KANDAHAR),ارغنداب,ARGHANDAB (KANDAHAR),NO
28,2805,5,3307,,KHAK REIZ,خاک ریز,KHAK REIZ,NO
28,2807,7,3308,,MAIWAND,میوند,MAIWAND,NO
28,2808,8,3303,,ZHERAI,ژری,ZHERAI,NO
28,2809,9,3304,,PANJAI,پنجوائی,PANJAI,NO
28,2810,10,3309,,REGESTAN,ريګستان,REGESTAN,NO
28,2811,11,3310,,SHORABAK,شورابك,SHORABAK,NO
28,2812,12,3311,,ESPEEN BOLDAK,سپین بولدک,ESPEEN BOLDAK,NO
28,2813,13,3312,,ARGHESTAN,ارغستان,ARGHESTAN,NO
28,2814,14,3316,,MAROOF,معروف,MAROOF,NO
28,2816,16,3314,,NISH,نيش,NISH,NO
29,2901,1,2401,,PROVINCIAL CENTER (QALAT),مرکززابل - قلات,PROVINCIAL CENTER (QALAT),YES
29,2902,2,2406,,SHAH JOI,شاه جوی,SHAH JOI,NO
29,2903,3,2402,,ARGHANDAB (ZABUL),ارغنداب,ARGHANDAB (ZABUL),NO
29,2905,5,2408,,DAICHOPAN,دايچوپان,DAICHOPAN,NO
29,2906,6,2403,,MIZAN,میزان,MIZAN,NO
29,2907,7,2404,,TARNK-O-JALDAK,ترنگ و جلدک,TARNK-O-JALDAK,NO
29,2908,8,2405,,SHINKAI,شینکی,SHINKAI,NO
29,2909,9,2409,,ATGHAR,اتغر,ATGHAR,NO
29,2910,10,2410,,SHEMEL ZAYI,شمل زائی,SHEMEL ZAYI,NO
29,2911,11,2411,,NAW BAHAR,نوبهار,NAW BAHAR,NO
30,3001,1,2301,,PROVINCIAL CENTER (TERINKOTT),مرکزارزگان - ترینکوت,PROVINCIAL CENTER (TERINKOTT),YES
30,3002,2,2302,,CHOARAH,چوره,CHOARAH,NO
30,3003,3,2305,,KHAS UROZGAN,خاص ارزگان,KHAS UROZGAN,NO
30,3004,4,2303,,SHAHID-E-HASSAS,شهید حساس,SHAHID-E-HASSAS,NO
30,3005,5,2304,,DEHRAOUD,دهراود,DEHRAOUD,NO
31,3101,1,2101,,PROVINCIAL CENTER (CHAGHCHARAN),مرکزغور- چغچران,PROVINCIAL CENTER (CHAGHCHARAN),YES
31,3102,2,2104,,DOWLATYAR,دولتیار,DOWLATYAR,NO
31,3103,3,2102,,CHAHAR SADA,چار صده,CHAHAR SADA,NO
31,3104,4,2105,,SHAHRAK,شهرک,SHAHRAK,NO
31,3105,5,2103,,DULEENA,دولینه,DULEENA,NO
31,3106,6,2107,,PASSABAND,پسابند,PASSABAND,NO
31,3107,7,2108,,LAL-O-SARJANGAL,لعل و سرجنگل,LAL-O-SARJANGAL,NO
31,3108,8,2109,,TOLAK,تولک,TOLAK,NO
31,3109,9,2110,,SAGHAR,ساغر,SAGHAR,NO
31,3110,10,2106,,TEYORA,تیوره,TEYORA,NO
32,3201,1,1001,,PROVINCE CENTER(MARKAZ-WOLLAYAT),مرکزبامیان - بامیان,PROVINCE CENTER(MARKAZ-WOLLAYAT),YES
32,3202,2,1005,,SHEBAR,شیبر,SHEBAR,NO
32,3203,3,1002,,SAIGHAN,سیغان,SAIGHAN,NO
32,3204,4,1006,,KOHMARD,کهمرد,KOHMARD,NO
32,3205,5,1003,,YAKAWULANG,یکاولنگ,YAKAWULANG,NO
32,3206,6,1004,,PANJAB,پنجاب,PANJAB,NO
32,3207,7,1007,,WARAS,ورث,WARAS,NO
33,3301,1,801,,BAZARAK,مرکزپنجشیر- بازارک,BAZARAK,YES
33,3302,2,803,,ROKHA,رخه,ROKHA,NO
33,3303,3,806,,ANABA,عنابه,ANABA,NO
33,3304,4,804,,DARAH,دره,DARAH,NO
33,3305,5,805,,HESSA-E-AWAL,حصه اول ( خنج ),HESSA-E-AWAL,NO
33,3306,6,802,,SHATAL,شتل,SHATAL,NO
33,3307,7,807,,PAREYIAN,پریان,PAREYIAN,NO
34,3401,1,2201,,DAIKONDI,مرکزدایکندی - نیلی,DAIKONDI,YES
34,3402,2,2206,,SHAHRESTAN,شهرستان,SHAHRESTAN,NO
34,3403,3,2209,,MERAMOR,میرامور,MERAMOR,NO
34,3404,4,2202,,ISHTRALI,اشترلی,ISHTRALI,NO
34,3405,5,2207,,SANG-E-TAKHTBANDER,سنگ تخت,SANG-E-TAKHTBANDER,NO
34,3406,6,2203,,KHADEU,خدیر,KHADEU,NO
34,3407,7,2208,,KIJRAN,کجران,KIJRAN,NO
34,3408,8,2204,,KITEE,گیتی,KITEE,NO
34,3409,9,2205,,GEZAB,گیزاب,GEZAB,NO
