"province_code","province_code_2018","province_name_eng","province_name_dari","province_name_pashto","district_code","provincial_capital","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","pc_code","pc_location","pc_location_dari","ps_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101055","karti parwan,ghaziayob no2 sacandry school"," مکتب متوسطه نمبر 2 غازی ایوب، کارته پروان  ",6,4,2,0,3800,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101056","karti parwan,wazir muhammad akbarkhan sacandry school","کارته پروان, مکتب متوسطه وزير محمد اکبر خان",6,4,2,0,3800,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101057","karti parwan,baba Nanak high school","کارته پروان, ليسه بابه نانک",7,5,2,0,5000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101058","karti parwan, nadria high school","کارته پروان, ليسه نادريه",7,5,2,0,5000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101059","kolola pushta,imamrazay gharib masque","کلوله پشته, مسجد امام رضاي غريب",6,4,2,0,4500,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101060","now abad dehkipak,now abad dikipak sacandry sch","نو آباد ده کيپک, مکتب متوسطه نوآباد ده کيپک",8,4,2,2,6500,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101061","parozha wazir abad,kadakistan no 1","پروژه وزير آباد, کودکستان نمبر١",4,3,1,0,2900,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101062","parozha taymani,malaka suraya girls school","پروژه تايمني, مکتب نسوان ملکه سريا",9,6,3,0,7200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101063","salang,jamhooriat high school","سالنگ, ليسه جمهوريت",6,4,2,0,3900,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101064","shahrak police,mahmood sediq farhang sacandary school","شهرک پوليس, مکتب متوسطه محمود صديق فرهنگ",7,4,3,0,5600,""
