"electorate","province_code","district_code","district_number","pc_code","pc_number","ps_code","ps_type","prelim_reporting"
"General","01","0101","01","0101060","060","0101060-06","F","YES"
"General","01","0101","01","0101061","061","0101061-01","M","YES"
"General","01","0101","01","0101061","061","0101061-02","M","YES"
"General","01","0101","01","0101061","061","0101061-03","M","YES"
"General","01","0101","01","0101061","061","0101061-04","F","YES"
"General","01","0101","01","0101062","062","0101062-01","M","YES"
"General","01","0101","01","0101062","062","0101062-02","M","YES"
"General","01","0101","01","0101062","062","0101062-03","M","YES"
"General","01","0101","01","0101062","062","0101062-04","M","YES"
"General","01","0101","01","0101062","062","0101062-05","M","YES"
"General","01","0101","01","0101062","062","0101062-06","M","YES"
"General","01","0101","01","0101062","062","0101062-07","F","YES"
"General","01","0101","01","0101062","062","0101062-08","F","YES"
"General","01","0101","01","0101062","062","0101062-09","F","YES"
"General","01","0101","01","0101063","063","0101063-01","M","YES"
"General","01","0101","01","0101063","063","0101063-03","M","YES"
"General","01","0101","01","0101063","063","0101063-04","M","YES"
"General","01","0101","01","0101063","063","0101063-05","F","YES"
"General","01","0101","01","0101064","064","0101064-01","M","YES"
"General","01","0101","01","0101064","064","0101064-02","M","YES"
"General","01","0101","01","0101064","064","0101064-03","M","YES"
"General","01","0101","01","0101064","064","0101064-04","M","YES"
"General","01","0101","01","0101064","064","0101064-05","F","YES"
"General","01","0101","01","0101064","064","0101064-06","F","YES"
"General","01","0101","01","0101064","064","0101064-07","F","YES"
"General","01","0101","01","0101065","065","0101065-02","M","YES"
"General","01","0101","01","0101065","065","0101065-03","M","YES"
"General","01","0101","01","0101065","065","0101065-04","F","YES"
"General","01","0101","01","0101065","065","0101065-05","F","YES"
"General","01","0101","01","0101066","066","0101066-01","M","YES"
"General","01","0101","01","0101066","066","0101066-02","M","YES"
"General","01","0101","01","0101066","066","0101066-03","M","YES"
"General","01","0101","01","0101066","066","0101066-04","F","YES"
"General","01","0101","01","0101066","066","0101066-05","F","YES"
"General","01","0101","01","0101067","067","0101067-01","M","YES"
"General","01","0101","01","0101067","067","0101067-02","M","YES"
"General","01","0101","01","0101067","067","0101067-03","F","YES"
"General","01","0101","01","0101067","067","0101067-04","F","YES"
"General","01","0101","01","0101068","068","0101068-01","M","YES"
"General","01","0101","01","0101068","068","0101068-03","M","YES"
"General","01","0101","01","0101068","068","0101068-05","F","YES"
"General","01","0101","01","0101069","069","0101069-01","M","YES"
"General","01","0101","01","0101069","069","0101069-02","M","YES"
"General","01","0101","01","0101069","069","0101069-03","F","YES"
"General","01","0101","01","0101070","070","0101070-01","M","YES"
"General","01","0101","01","0101070","070","0101070-02","M","YES"
"General","01","0101","01","0101070","070","0101070-03","M","YES"
"General","01","0101","01","0101070","070","0101070-04","M","YES"
"General","01","0101","01","0101070","070","0101070-05","F","YES"
"General","01","0101","01","0101070","070","0101070-06","F","YES"
"General","01","0101","01","0101071","071","0101071-02","M","YES"
"General","01","0101","01","0101072","072","0101072-01","M","YES"
"General","01","0101","01","0101072","072","0101072-02","M","YES"
"General","01","0101","01","0101072","072","0101072-03","F","YES"
"General","01","0101","01","0101073","073","0101073-01","M","YES"
"General","01","0101","01","0101073","073","0101073-02","M","YES"
"General","01","0101","01","0101073","073","0101073-03","M","YES"
"General","01","0101","01","0101073","073","0101073-04","M","YES"
"General","01","0101","01","0101073","073","0101073-05","F","YES"
"General","01","0101","01","0101073","073","0101073-06","F","YES"
"General","01","0101","01","0101074","074","0101074-01","M","YES"
"General","01","0101","01","0101074","074","0101074-02","M","YES"
"General","01","0101","01","0101074","074","0101074-03","M","YES"
"General","01","0101","01","0101074","074","0101074-04","M","YES"
"General","01","0101","01","0101074","074","0101074-05","M","YES"
"General","01","0101","01","0101074","074","0101074-06","F","YES"
"General","01","0101","01","0101074","074","0101074-07","F","YES"
"General","01","0101","01","0101075","075","0101075-01","M","YES"
"General","01","0101","01","0101075","075","0101075-02","M","YES"
"General","01","0101","01","0101075","075","0101075-03","M","YES"
"General","01","0101","01","0101075","075","0101075-04","F","YES"
"General","01","0101","01","0101076","076","0101076-01","M","YES"
"General","01","0101","01","0101076","076","0101076-02","F","YES"
"General","01","0101","01","0101077","077","0101077-01","M","YES"
"General","01","0101","01","0101077","077","0101077-02","M","YES"
"General","01","0101","01","0101077","077","0101077-03","M","YES"
"General","01","0101","01","0101077","077","0101077-04","M","YES"
"General","01","0101","01","0101077","077","0101077-05","F","YES"
"General","01","0101","01","0101077","077","0101077-06","F","YES"
"General","01","0101","01","0101079","079","0101079-01","M","YES"
"General","01","0101","01","0101079","079","0101079-02","F","YES"
"General","01","0101","01","0101080","080","0101080-01","M","YES"
"General","01","0101","01","0101080","080","0101080-02","M","YES"
"General","01","0101","01","0101080","080","0101080-03","F","YES"
"General","01","0101","01","0101081","081","0101081-01","M","YES"
"General","01","0101","01","0101081","081","0101081-02","M","YES"
"General","01","0101","01","0101081","081","0101081-03","F","YES"
"General","01","0101","01","0101082","082","0101082-01","M","YES"
"General","01","0101","01","0101082","082","0101082-02","M","YES"
"General","01","0101","01","0101082","082","0101082-03","M","YES"
"General","01","0101","01","0101082","082","0101082-04","M","YES"
"General","01","0101","01","0101082","082","0101082-05","F","YES"
"General","01","0101","01","0101082","082","0101082-06","F","YES"
"General","01","0101","01","0101083","083","0101083-01","M","YES"
"General","01","0101","01","0101083","083","0101083-02","M","YES"
"General","01","0101","01","0101083","083","0101083-03","F","YES"
