"province_code","district_code","pc_code","ps_code","ps_number","ps_station_type"
"01","0101","0101086","0101086-02","02","M"
"01","0101","0101086","0101086-03","03","M"
"01","0101","0101086","0101086-04","04","M"
"01","0101","0101086","0101086-05","05","M"
"01","0101","0101086","0101086-06","06","F"
"01","0101","0101086","0101086-07","07","F"
"01","0101","0101086","0101086-08","08","F"
"01","0101","0101087","0101087-01","01","M"
"01","0101","0101087","0101087-02","02","M"
"01","0101","0101087","0101087-04","04","M"
"01","0101","0101087","0101087-05","05","M"
"01","0101","0101087","0101087-06","06","M"
"01","0101","0101087","0101087-07","07","F"
"01","0101","0101087","0101087-08","08","F"
"01","0101","0101087","0101087-09","09","F"
"01","0101","0101089","0101089-01","01","M"
"01","0101","0101089","0101089-02","02","M"
"01","0101","0101089","0101089-03","03","M"
"01","0101","0101089","0101089-04","04","M"
"01","0101","0101089","0101089-05","05","M"
"01","0101","0101089","0101089-06","06","M"
"01","0101","0101089","0101089-07","07","F"
"01","0101","0101089","0101089-08","08","F"
"01","0101","0101090","0101090-01","01","M"
"01","0101","0101090","0101090-02","02","F"
"01","0101","0101091","0101091-01","01","M"
"01","0101","0101091","0101091-02","02","M"
"01","0101","0101091","0101091-03","03","M"
"01","0101","0101091","0101091-04","04","F"
"01","0101","0101091","0101091-05","05","F"
"01","0101","0101092","0101092-01","01","M"
"01","0101","0101092","0101092-02","02","M"
"01","0101","0101092","0101092-03","03","F"
"01","0101","0101093","0101093-01","01","M"
"01","0101","0101093","0101093-02","02","M"
"01","0101","0101093","0101093-03","03","F"
"01","0101","0101094","0101094-02","02","M"
"01","0101","0101094","0101094-03","03","M"
"01","0101","0101094","0101094-04","04","M"
"01","0101","0101094","0101094-05","05","M"
"01","0101","0101094","0101094-06","06","M"
"01","0101","0101094","0101094-07","07","F"
"01","0101","0101094","0101094-08","08","F"
"01","0101","0101094","0101094-09","09","F"
"01","0101","0101095","0101095-01","01","M"
"01","0101","0101095","0101095-02","02","M"
"01","0101","0101095","0101095-03","03","M"
"01","0101","0101095","0101095-04","04","F"
"01","0101","0101095","0101095-05","05","F"
"01","0101","0101096","0101096-01","01","M"
"01","0101","0101096","0101096-02","02","M"
"01","0101","0101096","0101096-03","03","M"
"01","0101","0101096","0101096-04","04","F"
"01","0101","0101096","0101096-05","05","F"
"01","0101","0101097","0101097-01","01","M"
"01","0101","0101097","0101097-02","02","M"
"01","0101","0101097","0101097-03","03","M"
"01","0101","0101097","0101097-04","04","M"
"01","0101","0101097","0101097-05","05","M"
"01","0101","0101097","0101097-06","06","F"
"01","0101","0101097","0101097-07","07","F"
"01","0101","0101097","0101097-08","08","F"
"01","0101","0101098","0101098-01","01","M"
"01","0101","0101098","0101098-02","02","M"
"01","0101","0101098","0101098-03","03","M"
"01","0101","0101098","0101098-04","04","M"
"01","0101","0101098","0101098-05","05","M"
"01","0101","0101098","0101098-06","06","F"
"01","0101","0101098","0101098-07","07","F"
"01","0101","0101098","0101098-08","08","F"
"01","0101","0101099","0101099-01","01","M"
"01","0101","0101099","0101099-02","02","M"
"01","0101","0101099","0101099-03","03","F"
"01","0101","0101100","0101100-01","01","M"
"01","0101","0101100","0101100-02","02","M"
"01","0101","0101100","0101100-03","03","M"
"01","0101","0101100","0101100-04","04","M"
"01","0101","0101100","0101100-05","05","M"
"01","0101","0101100","0101100-06","06","M"
"01","0101","0101100","0101100-07","07","M"
"01","0101","0101100","0101100-08","08","F"
"01","0101","0101100","0101100-09","09","F"
"01","0101","0101100","0101100-10","10","F"
"01","0101","0101100","0101100-11","11","F"
"01","0101","0101101","0101101-01","01","M"
"01","0101","0101101","0101101-02","02","M"
"01","0101","0101101","0101101-03","03","M"
"01","0101","0101101","0101101-04","04","F"
"01","0101","0101101","0101101-05","05","F"
"01","0101","0101102","0101102-01","01","M"
"01","0101","0101102","0101102-02","02","M"
"01","0101","0101102","0101102-03","03","F"
"01","0101","0101103","0101103-01","01","M"
"01","0101","0101103","0101103-02","02","M"
"01","0101","0101103","0101103-03","03","M"
"01","0101","0101103","0101103-04","04","M"
"01","0101","0101103","0101103-05","05","F"
"01","0101","0101103","0101103-06","06","F"
"01","0101","0101104","0101104-01","01","M"
"01","0101","0101104","0101104-02","02","M"
"01","0101","0101104","0101104-03","03","M"
"01","0101","0101104","0101104-04","04","M"
"01","0101","0101104","0101104-05","05","M"
"01","0101","0101104","0101104-06","06","M"
"01","0101","0101104","0101104-07","07","F"
"01","0101","0101104","0101104-08","08","F"
"01","0101","0101105","0101105-01","01","M"
"01","0101","0101105","0101105-02","02","M"
"01","0101","0101105","0101105-03","03","F"
"01","0101","0101106","0101106-01","01","M"
"01","0101","0101106","0101106-02","02","M"
"01","0101","0101106","0101106-03","03","M"
"01","0101","0101106","0101106-04","04","F"
"01","0101","0101106","0101106-05","05","F"
"01","0101","0101107","0101107-01","01","M"
"01","0101","0101107","0101107-02","02","M"
"01","0101","0101107","0101107-03","03","M"
"01","0101","0101107","0101107-04","04","F"
"01","0101","0101107","0101107-05","05","F"
"01","0101","0101108","0101108-01","01","M"
"01","0101","0101108","0101108-02","02","M"
"01","0101","0101108","0101108-03","03","M"
"01","0101","0101108","0101108-04","04","M"
"01","0101","0101108","0101108-05","05","M"
"01","0101","0101108","0101108-06","06","F"
"01","0101","0101108","0101108-07","07","F"
"01","0101","0101109","0101109-01","01","M"
"01","0101","0101109","0101109-02","02","M"
"01","0101","0101109","0101109-03","03","M"
"01","0101","0101109","0101109-04","04","M"
"01","0101","0101109","0101109-05","05","M"
"01","0101","0101109","0101109-06","06","F"
"01","0101","0101109","0101109-07","07","F"
"01","0101","0101110","0101110-01","01","M"
