"province_code","district_code","pc_code","ps_code","ps_number","ps_type","results_status","reporting_results","pre_prelim_invalidated_votes","final_votes","prelim_votes","net_prelim_final_change"
"01","0101","0101025","0101025-02","02","M","PRELIMINARY","YES",0,236,236,0
"01","0101","0101025","0101025-03","03","M","FINAL","YES",10,176,177,-1
"01","0101","0101025","0101025-03","03","M","PRELIMINARY","YES",10,176,177,-1
"01","0101","0101025","0101025-04","04","M","FINAL","YES",3,158,158,0
"01","0101","0101025","0101025-04","04","M","PRELIMINARY","YES",3,158,158,0
"01","0101","0101025","0101025-05","05","F","FINAL","YES",25,74,75,-1
"01","0101","0101025","0101025-05","05","F","PRELIMINARY","YES",25,74,75,-1
"01","0101","0101025","0101025-06","06","F","FINAL","YES",0,110,111,-1
"01","0101","0101025","0101025-06","06","F","PRELIMINARY","YES",0,110,111,-1
"01","0101","0101025","0101025-07","07","F","FINAL","YES",4,92,94,-2
"01","0101","0101025","0101025-07","07","F","PRELIMINARY","YES",4,92,94,-2
"01","0101","0101026","0101026-01","01","M","FINAL","YES",0,204,206,-2
"01","0101","0101026","0101026-01","01","M","PRELIMINARY","YES",0,204,206,-2
"01","0101","0101026","0101026-02","02","F","FINAL","YES",0,99,99,0
"01","0101","0101026","0101026-02","02","F","PRELIMINARY","YES",0,99,99,0
"01","0101","0101027","0101027-01","01","M","FINAL","YES",NA,NA,NA,NA
"01","0101","0101027","0101027-01","01","M","PRELIMINARY","NO",NA,NA,NA,NA
"01","0101","0101027","0101027-02","02","F","FINAL","YES",NA,NA,NA,NA
"01","0101","0101027","0101027-02","02","F","PRELIMINARY","NO",NA,NA,NA,NA
"01","0101","0101028","0101028-01","01","M","FINAL","YES",2,111,112,-1
"01","0101","0101028","0101028-01","01","M","PRELIMINARY","YES",2,111,112,-1
"01","0101","0101028","0101028-02","02","M","FINAL","YES",5,163,165,-2
"01","0101","0101028","0101028-02","02","M","PRELIMINARY","YES",5,163,165,-2
"01","0101","0101028","0101028-03","03","M","FINAL","YES",2,85,88,-3
"01","0101","0101028","0101028-03","03","M","PRELIMINARY","YES",2,85,88,-3
"01","0101","0101028","0101028-04","04","M","FINAL","YES",1,89,89,0
"01","0101","0101028","0101028-04","04","M","PRELIMINARY","YES",1,89,89,0
"01","0101","0101028","0101028-05","05","F","FINAL","YES",0,28,28,0
"01","0101","0101028","0101028-05","05","F","PRELIMINARY","YES",0,28,28,0
"01","0101","0101028","0101028-06","06","F","FINAL","YES",0,7,7,0
"01","0101","0101028","0101028-06","06","F","PRELIMINARY","YES",0,7,7,0
"01","0101","0101028","0101028-07","07","F","FINAL","YES",0,7,7,0
"01","0101","0101028","0101028-07","07","F","PRELIMINARY","YES",0,7,7,0
"01","0101","0101029","0101029-01","01","M","FINAL","YES",4,52,52,0
"01","0101","0101029","0101029-01","01","M","PRELIMINARY","YES",4,52,52,0
"01","0101","0101029","0101029-02","02","M","FINAL","YES",23,67,67,0
"01","0101","0101029","0101029-02","02","M","PRELIMINARY","YES",23,67,67,0
"01","0101","0101029","0101029-03","03","M","FINAL","YES",1,44,44,0
"01","0101","0101029","0101029-03","03","M","PRELIMINARY","YES",1,44,44,0
"01","0101","0101029","0101029-04","04","F","FINAL","YES",0,66,66,0
"01","0101","0101029","0101029-04","04","F","PRELIMINARY","YES",0,66,66,0
"01","0101","0101029","0101029-05","05","F","FINAL","YES",1,35,35,0
"01","0101","0101029","0101029-05","05","F","PRELIMINARY","YES",1,35,35,0
"01","0101","0101030","0101030-01","01","M","FINAL","YES",10,371,371,0
"01","0101","0101030","0101030-01","01","M","PRELIMINARY","YES",10,371,371,0
"01","0101","0101030","0101030-02","02","F","FINAL","YES",18,157,157,0
"01","0101","0101030","0101030-02","02","F","PRELIMINARY","YES",18,157,157,0
"01","0101","0101031","0101031-01","01","M","FINAL","YES",4,158,158,0
"01","0101","0101031","0101031-01","01","M","PRELIMINARY","YES",4,158,158,0
"01","0101","0101031","0101031-02","02","F","FINAL","YES",0,6,6,0
"01","0101","0101031","0101031-02","02","F","PRELIMINARY","YES",0,6,6,0
"01","0101","0101032","0101032-01","01","M","FINAL","YES",6,135,135,0
"01","0101","0101032","0101032-01","01","M","PRELIMINARY","YES",6,135,135,0
"01","0101","0101032","0101032-02","02","M","FINAL","YES",2,134,135,-1
"01","0101","0101032","0101032-02","02","M","PRELIMINARY","YES",2,134,135,-1
"01","0101","0101032","0101032-03","03","M","FINAL","YES",2,227,228,-1
"01","0101","0101032","0101032-03","03","M","PRELIMINARY","YES",2,227,228,-1
"01","0101","0101032","0101032-04","04","M","FINAL","YES",1,148,148,0
"01","0101","0101032","0101032-04","04","M","PRELIMINARY","YES",1,148,148,0
"01","0101","0101032","0101032-05","05","F","FINAL","YES",9,184,184,0
"01","0101","0101032","0101032-05","05","F","PRELIMINARY","YES",9,184,184,0
"01","0101","0101032","0101032-06","06","F","FINAL","YES",4,230,230,0
"01","0101","0101032","0101032-06","06","F","PRELIMINARY","YES",4,230,230,0
"01","0101","0101033","0101033-01","01","M","FINAL","YES",13,260,262,-2
"01","0101","0101033","0101033-01","01","M","PRELIMINARY","YES",13,260,262,-2
"01","0101","0101033","0101033-02","02","M","FINAL","YES",11,323,323,0
"01","0101","0101033","0101033-02","02","M","PRELIMINARY","YES",11,323,323,0
"01","0101","0101033","0101033-03","03","M","FINAL","YES",17,313,314,-1
"01","0101","0101033","0101033-03","03","M","PRELIMINARY","YES",17,313,314,-1
"01","0101","0101033","0101033-04","04","M","FINAL","YES",0,320,320,0
"01","0101","0101033","0101033-04","04","M","PRELIMINARY","YES",0,320,320,0
"01","0101","0101033","0101033-05","05","F","FINAL","YES",4,131,131,0
"01","0101","0101033","0101033-05","05","F","PRELIMINARY","YES",4,131,131,0
"01","0101","0101033","0101033-06","06","F","FINAL","YES",6,97,97,0
"01","0101","0101033","0101033-06","06","F","PRELIMINARY","YES",6,97,97,0
"01","0101","0101033","0101033-07","07","F","FINAL","YES",0,97,98,-1
"01","0101","0101033","0101033-07","07","F","PRELIMINARY","YES",0,97,98,-1
"01","0101","0101034","0101034-01","01","M","FINAL","YES",5,232,232,0
"01","0101","0101034","0101034-01","01","M","PRELIMINARY","YES",5,232,232,0
"01","0101","0101034","0101034-02","02","M","FINAL","YES",4,165,165,0
"01","0101","0101034","0101034-02","02","M","PRELIMINARY","YES",4,165,165,0
"01","0101","0101034","0101034-03","03","M","FINAL","YES",5,183,184,-1
"01","0101","0101034","0101034-03","03","M","PRELIMINARY","YES",5,183,184,-1
"01","0101","0101034","0101034-04","04","M","FINAL","YES",0,139,140,-1
"01","0101","0101034","0101034-04","04","M","PRELIMINARY","YES",0,139,140,-1
"01","0101","0101034","0101034-05","05","F","FINAL","YES",23,158,158,0
"01","0101","0101034","0101034-05","05","F","PRELIMINARY","YES",23,158,158,0
"01","0101","0101034","0101034-06","06","F","FINAL","YES",0,149,149,0
"01","0101","0101034","0101034-06","06","F","PRELIMINARY","YES",0,149,149,0
"01","0101","0101034","0101034-07","07","F","FINAL","YES",10,183,183,0
"01","0101","0101034","0101034-07","07","F","PRELIMINARY","YES",10,183,183,0
"01","0101","0101035","0101035-01","01","M","FINAL","YES",6,68,68,0
"01","0101","0101035","0101035-01","01","M","PRELIMINARY","YES",6,68,68,0
"01","0101","0101035","0101035-02","02","M","FINAL","YES",6,142,142,0
"01","0101","0101035","0101035-02","02","M","PRELIMINARY","YES",6,142,142,0
"01","0101","0101035","0101035-03","03","M","FINAL","YES",6,119,119,0
"01","0101","0101035","0101035-03","03","M","PRELIMINARY","YES",6,119,119,0
"01","0101","0101035","0101035-04","04","M","FINAL","YES",1,238,238,0
"01","0101","0101035","0101035-04","04","M","PRELIMINARY","YES",1,238,238,0
"01","0101","0101035","0101035-05","05","M","FINAL","YES",12,225,225,0
"01","0101","0101035","0101035-05","05","M","PRELIMINARY","YES",12,225,225,0
"01","0101","0101035","0101035-06","06","F","FINAL","YES",18,162,162,0
"01","0101","0101035","0101035-06","06","F","PRELIMINARY","YES",18,162,162,0
"01","0101","0101035","0101035-07","07","F","FINAL","YES",10,175,176,-1
"01","0101","0101035","0101035-07","07","F","PRELIMINARY","YES",10,175,176,-1
"01","0101","0101035","0101035-08","08","F","FINAL","YES",4,222,222,0
"01","0101","0101035","0101035-08","08","F","PRELIMINARY","YES",4,222,222,0
"01","0101","0101036","0101036-01","01","M","FINAL","YES",2,262,263,-1
"01","0101","0101036","0101036-01","01","M","PRELIMINARY","YES",2,262,263,-1
"01","0101","0101036","0101036-02","02","M","FINAL","YES",7,183,183,0
"01","0101","0101036","0101036-02","02","M","PRELIMINARY","YES",7,183,183,0
"01","0101","0101036","0101036-03","03","M","FINAL","YES",2,207,208,-1
"01","0101","0101036","0101036-03","03","M","PRELIMINARY","YES",2,207,208,-1
"01","0101","0101036","0101036-04","04","M","FINAL","YES",0,156,156,0
"01","0101","0101036","0101036-04","04","M","PRELIMINARY","YES",0,156,156,0
"01","0101","0101036","0101036-05","05","F","FINAL","YES",15,148,149,-1
"01","0101","0101036","0101036-05","05","F","PRELIMINARY","YES",15,148,149,-1
"01","0101","0101036","0101036-06","06","F","FINAL","YES",10,160,161,-1
"01","0101","0101036","0101036-06","06","F","PRELIMINARY","YES",10,160,161,-1
"01","0101","0101036","0101036-07","07","F","FINAL","YES",4,160,160,0
"01","0101","0101036","0101036-07","07","F","PRELIMINARY","YES",4,160,160,0
"01","0101","0101037","0101037-01","01","M","FINAL","YES",0,107,108,-1
"01","0101","0101037","0101037-01","01","M","PRELIMINARY","YES",0,107,108,-1
"01","0101","0101037","0101037-02","02","M","FINAL","YES",6,148,149,-1
"01","0101","0101037","0101037-02","02","M","PRELIMINARY","YES",6,148,149,-1
"01","0101","0101037","0101037-03","03","M","FINAL","YES",0,133,133,0
"01","0101","0101037","0101037-03","03","M","PRELIMINARY","YES",0,133,133,0
"01","0101","0101037","0101037-04","04","F","FINAL","YES",5,68,69,-1
"01","0101","0101037","0101037-04","04","F","PRELIMINARY","YES",5,68,69,-1
"01","0101","0101037","0101037-05","05","F","FINAL","YES",13,58,58,0
"01","0101","0101037","0101037-05","05","F","PRELIMINARY","YES",13,58,58,0
"01","0101","0101038","0101038-01","01","M","FINAL","YES",3,191,191,0
"01","0101","0101038","0101038-01","01","M","PRELIMINARY","YES",3,191,191,0
"01","0101","0101038","0101038-02","02","M","FINAL","YES",0,189,190,-1
"01","0101","0101038","0101038-02","02","M","PRELIMINARY","YES",0,189,190,-1
"01","0101","0101038","0101038-03","03","M","FINAL","YES",5,145,145,0
"01","0101","0101038","0101038-03","03","M","PRELIMINARY","YES",5,145,145,0
"01","0101","0101038","0101038-04","04","F","FINAL","YES",3,136,136,0
"01","0101","0101038","0101038-04","04","F","PRELIMINARY","YES",3,136,136,0
"01","0101","0101038","0101038-05","05","F","FINAL","YES",3,127,127,0
"01","0101","0101038","0101038-05","05","F","PRELIMINARY","YES",3,127,127,0
"01","0101","0101039","0101039-01","01","M","FINAL","YES",7,247,249,-2
"01","0101","0101039","0101039-01","01","M","PRELIMINARY","YES",7,247,249,-2
"01","0101","0101039","0101039-02","02","M","FINAL","YES",3,199,201,-2
"01","0101","0101039","0101039-02","02","M","PRELIMINARY","YES",3,199,201,-2
"01","0101","0101039","0101039-03","03","M","FINAL","YES",11,209,209,0
"01","0101","0101039","0101039-03","03","M","PRELIMINARY","YES",11,209,209,0
"01","0101","0101039","0101039-04","04","F","FINAL","YES",7,134,134,0
"01","0101","0101039","0101039-04","04","F","PRELIMINARY","YES",7,134,134,0
"01","0101","0101039","0101039-05","05","F","FINAL","YES",1,52,53,-1
"01","0101","0101039","0101039-05","05","F","PRELIMINARY","YES",1,52,53,-1
"01","0101","0101040","0101040-01","01","M","FINAL","YES",1,110,110,0
"01","0101","0101040","0101040-01","01","M","PRELIMINARY","YES",1,110,110,0
"01","0101","0101040","0101040-02","02","M","FINAL","YES",11,122,124,-2
"01","0101","0101040","0101040-02","02","M","PRELIMINARY","YES",11,122,124,-2
"01","0101","0101040","0101040-03","03","M","FINAL","YES",4,135,136,-1
"01","0101","0101040","0101040-03","03","M","PRELIMINARY","YES",4,135,136,-1
"01","0101","0101040","0101040-04","04","F","FINAL","YES",1,42,42,0
