"district_code","district_name_eng","district_name_dari","district_name_pashto","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","district_or_subdivision_name_pashto","provincial_capital"
"1602","WAYGAL","وایگل","وایگل","1602","WAYGAL","وایگل","وایگل","NO"
"1603","WAMA","واما","واما","1603","WAMA","واما","واما","NO"
"1604","NOORGERAM","نورګرام","نورګرام","1604","NOORGERAM","نورګرام","نورګرام","NO"
"1605","DOAB","دو آب","دو آب","1605","DOAB","دو آب","دو آب","NO"
"1606","KAMDESH","کامدیش","کامدیش","1606","KAMDESH","کامدیش","کامدیش","NO"
"1607","MANDOL","منډول","منډول","1607","MANDOL","منډول","منډول","NO"
"1608","BARGEMATAL","برګ مټال","برګ مټال","1608","BARGEMATAL","برګ مټال","برګ مټال","NO"
"1701","FAYZABAD","فیض آباد","فیض آباد","1701","FAYZABAD","فیض آباد","فیض آباد","YES"
"1702","ARGO","ارگو","ارگو","1702","ARGO","ارگو","ارگو","NO"
"1703","ARGHANCHKHWA","ارغنجخواه","ارغنجخواه","1703","ARGHANCHKHWA","ارغنجخواه","ارغنجخواه","NO"
"1704","YAFTAL SUFLA","یفتل سفلا","یفتل سفلا","1704","YAFTAL SUFLA","یفتل سفلا","یفتل سفلا","NO"
"1705","KHASH","خاش","خاش","1705","KHASH","خاش","خاش","NO"
"1706","BAHARAK","بهارک","بهارک","1706","BAHARAK","بهارک","بهارک","NO"
"1707","DARAYEM","درایم","درایم","1707","DARAYEM","درایم","درایم","NO"
"1708","KOHESTAN","کوهستان","کوهستان","1708","KOHESTAN","کوهستان","کوهستان","NO"
"1709","YAWAN","یاوان","یاوان","1709","YAWAN","یاوان","یاوان","NO"
"1710","JURM","جرم","جرم","1710","JURM","جرم","جرم","NO"
"1711","TESHKAN","تشکان","تشکان","1711","TESHKAN","تشکان","تشکان","NO"
"1712","SHUHADA","شهدا","شهدا","1712","SHUHADA","شهدا","شهدا","NO"
"1713","SHAHR BUZORG","شهر بزرگ","شهر بزرگ","1713","SHAHR BUZORG","شهر بزرگ","شهر بزرگ","NO"
"1714","RAGHESTAN","راغستان","راغستان","1714","RAGHESTAN","راغستان","راغستان","NO"
"1715","KESHEM","کشم","کشم","1715","KESHEM","کشم","کشم","NO"
"1716","WARDOJ","وردوج","وردوج","1716","WARDOJ","وردوج","وردوج","NO"
"1717","TAGAB","تگاب","تگاب","1717","TAGAB","تگاب","تگاب","NO"
"1718","YAMGAN","یمگان","یمگان","1718","YAMGAN","یمگان","یمگان","NO"
"1719","SHEGHNAN","شغنان","شغنان","1719","SHEGHNAN","شغنان","شغنان","NO"
"1720","KHWAHAN","خواهان","خواهان","1720","KHWAHAN","خواهان","خواهان","NO"
"1721","KOFAB","کوف آب","کوف آب","1721","KOFAB","کوف آب","کوف آب","NO"
"1722","DARWAZ PAYEN (MAMAY)","درواز پائین (مایمی)","درواز پائین (مایمی)","1722","DARWAZ PAYEN (MAMAY)","درواز پائین (مایمی)","درواز پائین (مایمی)","NO"
"1723","ESHKASHEM","اشکاشم","اشکاشم","1723","ESHKASHEM","اشکاشم","اشکاشم","NO"
"1724","SHAKI","شکی","شکی","1724","SHAKI","شکی","شکی","NO"
"1725","ZEBAK","زیباک","زیباک","1725","ZEBAK","زیباک","زیباک","NO"
"1726","KERAN WA MENJAN","کران و منجان","کران و منجان","1726","KERAN WA MENJAN","کران و منجان","کران و منجان","NO"
"1727","DARWAZ BALA (NESAY)","درواز بالا (نسی)","درواز بالا (نسی)","1727","DARWAZ BALA (NESAY)","درواز بالا (نسی)","درواز بالا (نسی)","NO"
"1728","WAKHAN","واخان","واخان","1728","WAKHAN","واخان","واخان","NO"
"1801","TALUQAN","تالقان","تالقان","1801","TALUQAN","تالقان","تالقان","YES"
"1802","HAZARSUMOCH","هزارسموچ","هزارسموچ","1802","HAZARSUMOCH","هزارسموچ","هزارسموچ","NO"
"1803","BAHARAK","بهارک","بهارک","1803","BAHARAK","بهارک","بهارک","NO"
"1804","BANGI","بنگی","بنگی","1804","BANGI","بنگی","بنگی","NO"
"1805","CHAL","چال","چال","1805","CHAL","چال","چال","NO"
