"province_code","district_code","pc_code","ps_code"
"01","0101","0101089","0101089-05"
"01","0101","0101090","0101090-01"
"01","0101","0101090","0101090-02"
"01","0101","0101090","0101090-03"
"01","0101","0101090","0101090-04"
"01","0101","0101091","0101091-01"
"01","0101","0101091","0101091-02"
"01","0101","0101091","0101091-03"
"01","0101","0101091","0101091-04"
"01","0101","0101092","0101092-01"
"01","0101","0101092","0101092-02"
"01","0101","0101092","0101092-03"
"01","0101","0101092","0101092-04"
"01","0101","0101092","0101092-05"
"01","0101","0101092","0101092-06"
"01","0101","0101094","0101094-01"
"01","0101","0101094","0101094-02"
"01","0101","0101094","0101094-03"
"01","0101","0101094","0101094-04"
"01","0101","0101095","0101095-01"
"01","0101","0101095","0101095-02"
"01","0101","0101096","0101096-01"
"01","0101","0101097","0101097-01"
"01","0101","0101097","0101097-02"
"01","0101","0101099","0101099-01"
"01","0101","0101099","0101099-02"
"01","0101","0101099","0101099-03"
"01","0101","0101099","0101099-04"
"01","0101","0101099","0101099-05"
"01","0101","0101099","0101099-06"
"01","0101","0101100","0101100-01"
"01","0101","0101100","0101100-02"
"01","0101","0101100","0101100-03"
"01","0101","0101100","0101100-04"
"01","0101","0101100","0101100-05"
"01","0101","0101100","0101100-06"
"01","0101","0101100","0101100-07"
"01","0101","0101100","0101100-08"
"01","0101","0101101","0101101-01"
"01","0101","0101101","0101101-02"
"01","0101","0101101","0101101-03"
"01","0101","0101101","0101101-04"
"01","0101","0101101","0101101-05"
"01","0101","0101101","0101101-06"
"01","0101","0101102","0101102-01"
"01","0101","0101102","0101102-02"
"01","0101","0101102","0101102-03"
"01","0101","0101102","0101102-04"
"01","0101","0101102","0101102-05"
"01","0101","0101103","0101103-01"
"01","0101","0101103","0101103-02"
"01","0101","0101103","0101103-03"
"01","0101","0101103","0101103-04"
"01","0101","0101103","0101103-05"
"01","0101","0101103","0101103-06"
"01","0101","0101104","0101104-01"
"01","0101","0101104","0101104-02"
"01","0101","0101104","0101104-03"
"01","0101","0101104","0101104-04"
"01","0101","0101105","0101105-01"
"01","0101","0101106","0101106-01"
"01","0101","0101106","0101106-02"
"01","0101","0101106","0101106-03"
"01","0101","0101106","0101106-04"
"01","0101","0101109","0101109-01"
"01","0101","0101109","0101109-02"
"01","0101","0101110","0101110-01"
"01","0101","0101110","0101110-02"
"01","0101","0101110","0101110-03"
"01","0101","0101110","0101110-04"
"01","0101","0101110","0101110-05"
"01","0101","0101110","0101110-06"
"01","0101","0101110","0101110-07"
"01","0101","0101112","0101112-01"
"01","0101","0101112","0101112-02"
"01","0101","0101112","0101112-03"
"01","0101","0101113","0101113-01"
"01","0101","0101113","0101113-02"
"01","0101","0101113","0101113-03"
"01","0101","0101113","0101113-04"
"01","0101","0101113","0101113-05"
"01","0101","0101114","0101114-01"
"01","0101","0101114","0101114-02"
"01","0101","0101114","0101114-03"
"01","0101","0101114","0101114-04"
"01","0101","0101114","0101114-05"
"01","0101","0101115","0101115-01"
"01","0101","0101115","0101115-02"
"01","0101","0101115","0101115-03"
"01","0101","0101115","0101115-04"
"01","0101","0101115","0101115-05"
"01","0101","0101115","0101115-06"
"01","0101","0101116","0101116-01"
"01","0101","0101116","0101116-02"
"01","0101","0101116","0101116-03"
"01","0101","0101117","0101117-01"
"01","0101","0101117","0101117-02"
"01","0101","0101118","0101118-01"
"01","0101","0101118","0101118-02"
"01","0101","0101118","0101118-03"
"01","0101","0101118","0101118-04"
"01","0101","0101118","0101118-05"
"01","0101","0101118","0101118-06"
"01","0101","0101118","0101118-07"
"01","0101","0101119","0101119-01"
"01","0101","0101119","0101119-02"
"01","0101","0101120","0101120-01"
"01","0101","0101120","0101120-02"
"01","0101","0101120","0101120-03"
"01","0101","0101120","0101120-04"
"01","0101","0101120","0101120-05"
"01","0101","0101121","0101121-01"
"01","0101","0101121","0101121-02"
"01","0101","0101121","0101121-03"
"01","0101","0101121","0101121-04"
"01","0101","0101121","0101121-05"
"01","0101","0101121","0101121-06"
"01","0101","0101121","0101121-07"
"01","0101","0101121","0101121-08"
"01","0101","0101122","0101122-01"
"01","0101","0101122","0101122-02"
"01","0101","0101122","0101122-03"
"01","0101","0101122","0101122-04"
"01","0101","0101122","0101122-05"
"01","0101","0101122","0101122-06"
"01","0101","0101123","0101123-01"
"01","0101","0101123","0101123-02"
"01","0101","0101123","0101123-03"
"01","0101","0101124","0101124-01"
"01","0101","0101124","0101124-02"
"01","0101","0101124","0101124-03"
"01","0101","0101124","0101124-04"
"01","0101","0101124","0101124-05"
"01","0101","0101124","0101124-06"
"01","0101","0101124","0101124-07"
"01","0101","0101125","0101125-01"
"01","0101","0101125","0101125-02"
"01","0101","0101125","0101125-03"
"01","0101","0101125","0101125-04"
"01","0101","0101125","0101125-05"
"01","0101","0101126","0101126-01"
"01","0101","0101126","0101126-02"
"01","0101","0101126","0101126-03"
"01","0101","0101126","0101126-04"
"01","0101","0101126","0101126-05"
"01","0101","0101127","0101127-01"
"01","0101","0101127","0101127-02"
"01","0101","0101127","0101127-03"
"01","0101","0101127","0101127-04"
"01","0101","0101127","0101127-05"
"01","0101","0101127","0101127-06"
"01","0101","0101128","0101128-01"
"01","0101","0101128","0101128-02"
"01","0101","0101128","0101128-03"
"01","0101","0101128","0101128-04"
"01","0101","0101128","0101128-05"
"01","0101","0101128","0101128-06"
"01","0101","0101128","0101128-07"
"01","0101","0101128","0101128-08"
"01","0101","0101128","0101128-09"
"01","0101","0101129","0101129-01"
"01","0101","0101129","0101129-02"
"01","0101","0101129","0101129-03"
"01","0101","0101129","0101129-04"
"01","0101","0101129","0101129-05"
"01","0101","0101129","0101129-06"
"01","0101","0101129","0101129-07"
"01","0101","0101129","0101129-08"
"01","0101","0101130","0101130-01"
"01","0101","0101130","0101130-02"
"01","0101","0101130","0101130-03"
"01","0101","0101130","0101130-04"
"01","0101","0101130","0101130-05"
"01","0101","0101131","0101131-01"
"01","0101","0101131","0101131-02"
"01","0101","0101131","0101131-03"
"01","0101","0101131","0101131-04"
"01","0101","0101132","0101132-01"
"01","0101","0101132","0101132-02"
"01","0101","0101132","0101132-03"
"01","0101","0101132","0101132-04"
"01","0101","0101132","0101132-05"
"01","0101","0101133","0101133-01"
"01","0101","0101133","0101133-02"
"01","0101","0101134","0101134-01"
"01","0101","0101134","0101134-02"
"01","0101","0101134","0101134-03"
"01","0101","0101134","0101134-04"
"01","0101","0101134","0101134-05"
"01","0101","0101134","0101134-06"
"01","0101","0101134","0101134-07"
"01","0101","0101134","0101134-08"
"01","0101","0101135","0101135-01"
"01","0101","0101135","0101135-02"
"01","0101","0101135","0101135-03"
"01","0101","0101135","0101135-04"
"01","0101","0101136","0101136-01"
"01","0101","0101136","0101136-02"
"01","0101","0101136","0101136-03"
"01","0101","0101136","0101136-04"
"01","0101","0101136","0101136-05"
"01","0101","0101136","0101136-06"
"01","0101","0101136","0101136-07"
"01","0101","0101136","0101136-08"
"01","0101","0101136","0101136-09"
"01","0101","0101136","0101136-10"
"01","0101","0101136","0101136-11"
"01","0101","0101136","0101136-12"
"01","0101","0101137","0101137-01"
"01","0101","0101137","0101137-02"
"01","0101","0101137","0101137-03"
"01","0101","0101138","0101138-01"
"01","0101","0101138","0101138-02"
"01","0101","0101138","0101138-03"
"01","0101","0101139","0101139-01"
"01","0101","0101139","0101139-02"
"01","0101","0101139","0101139-03"
"01","0101","0101139","0101139-04"
"01","0101","0101139","0101139-05"
"01","0101","0101139","0101139-06"
"01","0101","0101139","0101139-07"
"01","0101","0101139","0101139-08"
"01","0101","0101140","0101140-01"
"01","0101","0101140","0101140-02"
"01","0101","0101140","0101140-03"
"01","0101","0101140","0101140-04"
"01","0101","0101140","0101140-05"
"01","0101","0101140","0101140-06"
"01","0101","0101140","0101140-07"
"01","0101","0101140","0101140-08"
"01","0101","0101140","0101140-09"
"01","0101","0101140","0101140-10"
"01","0101","0101141","0101141-01"
"01","0101","0101141","0101141-02"
"01","0101","0101141","0101141-03"
