"pc_code","prelim_results_status","province_name","province_code","district_name","district_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"0405067","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Tent in the Haft Aasya village","Haft Aasya","Old","no change",2088,110,11,0,10,0,0,34,55,1975,1694,281,3,0,1697,281,1978
"0405068","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Otarri School","Otarri","Old","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0405070","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Salar Jame Mosque","Salar","Old","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0405071","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Khalid Bin Waleed High School","Aka Khil Vilage","Relocated","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0405074","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Saed Abad High School","Aman Khil","Old","no change",2262,171,14,0,8,0,0,123,26,2091,1690,401,0,0,1690,401,2091
"0405076","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Shater Mosque","Shater village","Relocated","no change",2196,302,10,0,23,0,0,188,81,1893,1528,365,1,0,1529,365,1894
"0405082","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Si Si village Mosque","Si Si Village ","Old","no change",2208,255,8,0,12,0,0,206,29,1951,1545,406,2,0,1547,406,1953
"0405084","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Shiekh Abad High School","Hashim Khil","Old","no change",2700,369,59,0,21,0,0,272,17,2331,2036,295,0,0,2036,295,2331
"0405094","Not Reporting","MAYDANWARDAK","04","SAYDABAD","0405","Shash Qalla School","Shash Qalla","Old","no change",2166,213,5,0,8,0,0,64,136,1953,1591,362,0,0,1591,362,1953
"0406098","Not Reporting","MAYDANWARDAK","04","DAYMIRDAD","0406","Meeran Clinic","Meeran Village","Not Assessed","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0406099","Not Reporting","MAYDANWARDAK","04","DAYMIRDAD","0406","Ghazi Abdul Kabir Khan High School","Babak Village","Not Assessed","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0409146","Not Reporting","MAYDANWARDAK","04","MARKAZ BIHSOD","0409","Kardan Qadah Mosque","Kardan Qadah","Old","no change",1200,850,9,0,831,0,0,0,10,350,128,222,0,0,128,222,350
"0502031","Not Reporting","LOGAR","05","BARAKIBARAK","0502","Baraki Rajan High School","Baraki Rajan","Old","no change",866,489,15,0,453,0,0,0,21,376,242,134,1,0,243,134,377
"0503041","Not Reporting","LOGAR","05","CHARKH","0503","Mawlana Yaqoub Charkhi School ","Garam Aabah","Old","no change",36,3,3,0,0,0,0,0,0,33,33,0,0,0,33,0,33
"0505050","Not Reporting","LOGAR","05","MUHAMMADAGHA","0505","Surkhab School","Surkhab","Not Assessed","no change",2999,124,10,0,40,0,0,25,49,2874,1721,1153,1,0,1722,1153,2875
"0603072","Not Reporting","NANGARHAR","06","SURKHROD","0603","Gandah Chashmah Mosque","Gandah Chashmah","Old","no change",1356,28,6,0,13,0,0,0,9,1277,562,715,51,0,591,737,1328
"0603092","Not Reporting","NANGARHAR","06","SURKHROD","0603","Shamspour Girls High School","Shamspour","Old","no change",1212,98,41,0,31,0,0,11,15,1110,897,213,4,0,898,216,1114
"0604105","Not Reporting","NANGARHAR","06","CHAPARHAR","0604","Saparai Secondary School","Chaghra","Not Assessed","no change",1200,45,15,0,12,0,0,3,15,1154,575,579,1,0,575,580,1155
"0604106","Not Reporting","NANGARHAR","06","CHAPARHAR","0604","Speen Jumat Mosque","Speen Jomat Campoona","Not Assessed","no change",2331,114,15,0,56,0,0,0,43,2216,509,1707,1,0,509,1708,2217
"0604111","Not Reporting","NANGARHAR","06","CHAPARHAR","0604","Secondary School","Zagho Kalai","Relocated","no change",1182,82,14,0,7,0,0,17,44,1099,549,550,1,0,550,550,1100
"0604115","Not Reporting","NANGARHAR","06","CHAPARHAR","0604","Ghulam Daag School","Darmango Kalai","Old","no change",1800,76,9,0,20,0,0,0,47,1702,1129,573,22,0,1150,574,1724
"0604120","Not Reporting","NANGARHAR","06","CHAPARHAR","0604"," Salozai School","Zalozai","Old","no change",2400,169,5,0,25,0,0,21,118,2214,1681,533,17,0,1697,534,2231
"0604121","Not Reporting","NANGARHAR","06","CHAPARHAR","0604"," Paterai School","Paterai Kalai","Relocated","no change",1800,73,2,0,19,0,0,4,48,1695,1130,565,32,0,1161,566,1727
"0608214","Not Reporting","NANGARHAR","06","KHOGYANI","0608"," Dargai Primary School","Dargai","Not Assessed","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0608218","Not Reporting","NANGARHAR","06","KHOGYANI","0608"," Do Aabah School","Do Aabah","Not Assessed","no change",1800,71,2,0,11,0,0,5,53,1702,1152,550,27,0,1152,577,1729
"0608219","Not Reporting","NANGARHAR","06","KHOGYANI","0608"," Tatang School","Tatang","Not Assessed","no change",1200,32,6,0,5,0,0,10,11,1129,551,578,39,0,585,583,1168
"0608220","Not Reporting","NANGARHAR","06","KHOGYANI","0608"," Tatang Clinic","Tatang","Not Assessed","no change",1200,74,6,0,15,0,0,17,36,1092,514,578,34,0,546,580,1126
"0609226","Not Reporting","NANGARHAR","06","BATIKOT","0609"," Spagani Konj","Farm 2","Not Assessed","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0609230","Not Reporting","NANGARHAR","06","BATIKOT","0609"," Garbawah Mosque","Garbawah","Not Assessed","no change",2400,74,1,0,48,0,0,7,18,1992,1440,552,334,0,1745,581,2326
"0614308","Not Reporting","NANGARHAR","06","GOSHTA","0614"," Goshtah Girls Secondary School","Goshtah","Old","no change",1200,37,7,0,10,0,0,3,17,1162,584,578,1,0,584,579,1163
"0615321","Not Reporting","NANGARHAR","06","ACHEEN","0615"," Zaree Khola Jomat Mosque","Zaree Kholah","Not Assessed","no change",2796,107,2,0,22,0,0,15,68,2689,2098,591,0,0,2098,591,2689
"0615339","Not Reporting","NANGARHAR","06","ACHEEN","0615"," Zorr Jomat Mosque (OLD Mosque)","Lande Momand","Not Assessed","no change",60,8,6,0,1,0,0,0,1,52,0,52,0,0,0,52,52
"0616367","Not Reporting","NANGARHAR","06","SHINWAR","0616"," 26 Weyalah High School","Weyalah 26","Old","no change",732,38,14,0,8,0,0,4,12,682,564,118,12,0,564,130,694
"0616369","Not Reporting","NANGARHAR","06","SHINWAR","0616"," Golayee High School","Golayee Kalai","Old","no change",348,12,5,0,2,0,0,3,2,146,94,52,190,0,194,142,336
"0616370","Not Reporting","NANGARHAR","06","SHINWAR","0616"," Syah Chob Mosque","Syah Chob ","Old","no change",3600,55,12,0,9,0,0,21,13,3537,2357,1180,8,0,2362,1183,3545
"0617375","Not Reporting","NANGARHAR","06","MUHMAND DARA","0617"," Utmanzai Mosque","Gardi Otmanzi","Old","no change",3000,48,6,0,7,0,0,3,32,2914,1154,1760,38,0,1182,1770,2952
"0617389","Not Reporting","NANGARHAR","06","MUHMAND DARA","0617"," Sagi Speen Jomat Mosque","Sagai","Not Assessed","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0618392","Not Reporting","NANGARHAR","06","LAL POOR","0618"," Gul Daag High School","Gul Dag Kalai","Old","no change",3248,66,7,0,22,0,0,9,28,3181,2207,974,1,0,2207,975,3182
"0618393","Not Reporting","NANGARHAR","06","LAL POOR","0618"," Chaknoor High School","Chaknoor Kalai","Not Assessed","no change",3126,49,5,0,23,0,0,7,14,3074,1632,1442,3,0,1635,1442,3077
"0620413","Not Reporting","NANGARHAR","06","NAZYAN","0620"," Jai Sar Mosque","Morchal Kalai","Old","no change",294,12,5,0,3,0,0,3,1,282,179,103,0,0,179,103,282
"0620414","Not Reporting","NANGARHAR","06","NAZYAN","0620"," Morchal Kali Maidan (Morchal village ground)","Morchal Kalai","Not Assessed","no change",810,29,14,0,3,0,0,9,3,781,528,253,0,0,528,253,781
"0623334","Not Reporting","NANGARHAR","06","SPIN GHAR","0623","Marouf Cheenah Jame Mosque","Marouf Cheenah",NA,"added",3168,101,10,0,17,0,0,16,58,3047,2041,1006,20,0,2061,1006,3067
"0623340","Not Reporting","NANGARHAR","06","SPIN GHAR","0623","Zaree Kholah","Zaree Kholah Kalai",NA,"added",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0623352","Not Reporting","NANGARHAR","06","SPIN GHAR","0623","Ilyas Ba Ba School","Wach Got",NA,"added",2082,105,5,0,14,0,0,6,80,1975,1133,842,2,0,1134,843,1977
