"province_code","province_name_eng","district_code","district_name_eng","district_or_subdivision_name","provincial_capital","pc_code","pc_name_eng","pc_location","ps_count","prelim_results_status","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101077","Hazrat Shamsul Mashaikh High School","Section A - Khushal Khan Mena",6,"Reporting","Old","no change",3138,122,47,0,44,0,0,17,14,2991,2174,817,25,0,2199,817,3016
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101078","Prof. Rasoul Amin High School","B Section- Khusahal Khan Mena",3,"Reporting","Old","no change",1980,110,34,0,11,0,0,38,27,1868,1284,584,2,0,1285,585,1870
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101079","Polytechnic Mosque","Polytechnic ",4,"Reporting","Old","no change",2244,134,45,0,9,0,0,72,8,2108,1803,305,1,1,1804,306,2110
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101080","Jaghori ha Mosque","Afshar Seelo",6,"Reporting","Old","no change",3330,257,48,0,15,0,0,170,24,3070,1754,1316,3,0,1757,1316,3073
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101081","Sahib Zaman Mosque","Afshar Seelo",6,"Reporting","Old","no change",3569,178,103,0,19,0,0,47,9,3390,2086,1304,1,0,2087,1304,3391
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101082","Abu Zar Ghafari High School","Char Rahi Qambar",10,"Reporting","Relocated","no change",6234,256,44,0,40,0,0,77,95,5962,3805,2157,16,0,3818,2160,5978
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101083","Ayub Saber Mosque","Nawabad Qargha",4,"Reporting","Old","no change",6846,360,127,3,63,0,0,56,111,6257,4638,1619,228,1,4846,1640,6486
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101084","Deh e Araban School","Qargha",5,"Reporting","Old","no change",2874,89,39,0,7,0,0,33,10,2778,1643,1135,7,0,1649,1136,2785
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101085","Shah e Awlya Mosque","Qargha",3,"Reporting","Old","no change",1110,54,32,0,3,0,0,15,4,1048,704,344,8,0,712,344,1056
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101086","Hazrat Bilal Mosque","Qalla e Kashif",6,"Reporting","Old","no change",2778,176,44,0,19,0,0,90,23,2548,2164,384,54,0,2216,386,2602
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101087","Hazrat Mohammad (pbuh) Mosque","Rigration",4,"Reporting","Relocated","no change",3486,179,64,0,13,0,0,68,34,3163,2151,1012,144,0,2269,1038,3307
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101088","Qalla e Kashif High School","Company Bazzar",11,"Reporting","Old","no change",8610,369,40,1,43,0,0,171,114,7398,5698,1700,843,0,6303,1938,8241
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101089","Shaheed Mosque","Qaryah e Wardaki ha (Wardaki ha village)",5,"Reporting","Old","no change",2964,100,11,0,10,0,0,64,15,2822,2246,576,42,0,2284,580,2864
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101090","Sar Aasyab Girls High School","Sar Aasyab",4,"Reporting","Old","no change",2286,86,30,0,16,0,0,19,21,2194,1194,1000,6,0,1200,1000,2200
