"province_code","province_name_eng","candidate_code","candidate_name_eng","candidate_name_dari","candidate_name_pashto"
1,"Kabul","1-1826-188","Sahel Khan","ساحل خان","ساحل خان"
1,"Kabul","1-1346-1017","Commander Mir Alam Haqpal","قومندان میر علم حقپال","قومندان میر علم حقپال"
1,"Kabul","1-1100-1096","Aalia Azimi","عالیه عظیمی","عالیه عظیمی"
1,"Kabul","1-1715-132","Ihsanullah Fani","احسا ن الله فانی ","احسا ن الله فانی "
1,"Kabul","1-1053-1053","Abdul Khaleq Ramesh Salemi","عبدالخالق رامش سالمی","عبدالخالق رامش سالمی"
1,"Kabul","1-1154-123","Mohammad Ayoub Osmani","محمد ایوب عثمانی","محمد ایوب عثمانی"
1,"Kabul","1-1079-1166","Alhaj Mohammad Omer Marjan","الحاج محمد عمر مرجان ","الحاج محمد عمر مرجان "
1,"Kabul","1-1072-78","Zuhra Noorzai","زهره نوروزی","زهره نوروزی"
1,"Kabul","1-1501-165","Ahmad Parwiz Faizi","احمد پرویز فیضی","احمد پرویز فیضی"
1,"Kabul","1-1246-41","Mohammad Masood Afghan Ghorbandi","محمد مسعود افغان غوربندی","محمد مسعود افغان غوربندی"
1,"Kabul","1-1862-3074","Burhanuddin Hafez","برهان الدین   حافظ","برهان الدین   حافظ"
1,"Kabul","1-1766-135","Hassan Jaan Dawlatzai","حسن جان  دولت زی","حسن جان  دولت زی"
1,"Kabul","1-1754-131","Mohammad Aref Wardag","محمد عارف وردگ ","محمد عارف وردگ "
1,"Kabul","1-1252-184","Gullabuddin Rasekh","گلاب الدین راسخ","گلاب الدین راسخ"
1,"Kabul","1-1462-29","Haji Jalaluddin Salehi","حاجی جلال الدین صالحی","حاجی جلال الدین صالحی"
1,"Kabul","1-1124-1208","Nesar Ahmad Bahlol","نثار احمد بهلول ","نثار احمد بهلول "
1,"Kabul","1-1541-11","Dr. Shamsulhaq Najibi","داکتر شمس الحق نجیبی","داکتر شمس الحق نجیبی"
1,"Kabul","1-1384-57","Ahmad Zia Azimi Shinozadah","احمد ضیا عظیمی شینوزاده","احمد ضیا عظیمی شینوزاده"
1,"Kabul","1-1682-97","Mohammad Halim Formoli","محمد حلیم فرملی ","محمد حلیم فرملی "
1,"Kabul","1-1863-111","Najibullah Azad","نجیب الله آزاد ","نجیب الله آزاد "
1,"Kabul","1-1718-135","Ajmal Gullab","اجمل گلاب ","اجمل گلاب "
1,"Kabul","1-1486-139","Zabiullah Laho Zazai","ذبیح الله لاهو ځاځی","ذبیح الله لاهو ځاځی"
1,"Kabul","1-1027-1","Noor Ahmad Ghafoori","نوراحمد غفوری","نوراحمد غفوری"
1,"Kabul","1-1476-1101","Mohammad Mahdi Hussainyar","محمد  مهدی حسنیار","محمد  مهدی حسنیار"
1,"Kabul","1-1302-97","Dr. Nematullah Nemat","داکتر نعمت الله نعمت ","داکتر نعمت الله نعمت "
1,"Kabul","1-1788-1069","Khalid Khan Ghaznawi","خالد خان غزنوی","خالد خان غزنوی"
1,"Kabul","1-1676-166","Bibi Noor Darwazi","بی بی نور دروازی ","بی بی نور دروازی "
1,"Kabul","1-1247-52","Suhrab Atta","سهراب عطا ","سهراب عطا "
1,"Kabul","1-1802-3065","Shahzad Gull Musleh Zazai","شهزاد گل  مصلح   ځاځی","شهزاد گل  مصلح   ځاځی"
1,"Kabul","1-1280-1202","Jamila Noorzai Raufi","جمیله نورزی روفی ","جمیله نورزی روفی "
1,"Kabul","1-1347-149","Ustad Hassina Sahak","استاد حسینه سهاک ","استاد حسینه سهاک "
1,"Kabul","1-1433-28","Abdul Karim Stanikzai Obaid","عبدالکریم ستانکزی “عبید”","عبدالکریم ستانکزی “عبید”"
1,"Kabul","1-1614-1","Alhaj Mohammad Amin Tarakhel","الحاج محمد امین تره خیل ","الحاج محمد امین تره خیل "
1,"Kabul","1-1471-1085","Parwin Zafar Ahadi","پروین ظفر احدی","پروین ظفر احدی"
1,"Kabul","1-1833-165","Mohammad Essa Ahmadi","محمد عیسی احمد ی","محمد عیسی احمد ی"
1,"Kabul","1-1345-105","Dr. Mohammad Younus Karimi","داکتر محمد یونس کریمی ","داکتر محمد یونس کریمی "
1,"Kabul","1-1288-59","Fawad Aman","فواد امان","فواد امان"
1,"Kabul","35-1832-153","Jubran","جبران ","جبران "
1,"Kabul","1-1285-19","Fazel Rahman Sofizadah","فضل الرحمن صوفی زاده","فضل الرحمن صوفی زاده"
1,"Kabul","1-1711-104","Shinkai Karokhel","شینکی کروخیل","شینکی کروخیل"
1,"Kabul","1-1338-40","Assadullah Azizi","اسد الله عزیزی","اسد الله عزیزی"
1,"Kabul","1-1849-171","Abdul Qayoum Sahraye","عبدالقیوم صحرایی","عبدالقیوم صحرایی"
1,"Kabul","1-1542-4","Noorullah Dawoodzai","نورالله داوود زی","نورالله داوود زی"
1,"Kabul","1-1452-3058","Sayed Hassan Hussaini","سید حسن حسینی ","سید حسن حسینی "
1,"Kabul","1-1618-1191","Sayed Hamed Daqiq","سید حامد دقیق ","سید حامد دقیق "
1,"Kabul","1-1107-145","Shekeba Kakar Sadat","شکیبا کاکرسادات ","شکیبا کاکرسادات "
1,"Kabul","1-1260-4","Abdul Manan Shiwae Sharq","عبدالمنان شیوای شرق ","عبدالمنان شیوای شرق "
1,"Kabul","1-1775-155","Dr. Jawad Surosh","داکتر جواد سروش ","داکتر جواد سروش "
1,"Kabul","35-1549-159","Kako Jaan Neyazai","کاکو جان نیازی","کاکو جان نیازی"
1,"Kabul","1-1436-11","Mohammad Rahim Karimi","محمد رحیم کریمی","محمد رحیم کریمی"
1,"Kabul","1-1899-1183","Haji Samim Haidari","حاجی صمیم  حیدری ","حاجی صمیم  حیدری "
1,"Kabul","1-2008-1207","Mohammad Younus Tughra","محمد یونس  طغرا ","محمد یونس  طغرا "
1,"Kabul","1-1335-19","Dr. Mohammad Asef Hekmat","داکتر محمد آصف حکمت ","داکتر محمد آصف حکمت "
1,"Kabul","1-1085-3062","Razuddin Fakhri","رازالدن فخری","رازالدن فخری"
1,"Kabul","1-1701-6","Najibullah Kabuli","نجیب الله کابلی","نجیب الله کابلی"
1,"Kabul","1-1175-48","Dr. Mohammad Shour Neyazai","داکتر محمد شعور نیازی ","داکتر محمد شعور نیازی "
1,"Kabul","1-1421-196","Najiba Fetrat","نجیبه فطرت","نجیبه فطرت"
1,"Kabul","1-1633-82","Ustad Qasem Wahidi","استاد قاسم وحیدی","استاد قاسم وحیدی"
1,"Kabul","1-1395-1072","Dr. Ahmad Wahid Khalid","داکتر احمد وحید خالد ","داکتر احمد وحید خالد "
1,"Kabul","1-1132-116","Alhaj Noor Rahman Oryakhel","الحاج نور رحمن اوریاخیل","الحاج نور رحمن اوریاخیل"
1,"Kabul","1-1509-1016","Abdul Wahid Hamzah","عبدالوحید  حمزه","عبدالوحید  حمزه"
1,"Kabul","1-1052-88","Abdul Baqi Saranwal Hotak","عبدالباقی څارنوال هوتک","عبدالباقی څارنوال هوتک"
1,"Kabul","1-1228-11","Gen. Nazifa Zaki","جنرال نظیفه ذکی","جنرال نظیفه ذکی"
1,"Kabul","1-1485-63","Abdul Mohammad Elham Nadi","عبدالمحمد الهام نادی","عبدالمحمد الهام نادی"
1,"Kabul","1-1128-174","Mohammad Naser Babakarkhel","محمد ناصر بابکر خیل","محمد ناصر بابکر خیل"
1,"Kabul","1-2007-164","Alhaj Sharifullah Kamawal","الحاج شریف الله کامه وال ","الحاج شریف الله کامه وال "
1,"Kabul","1-1354-109","Mohammad Aalem Kohkan","محمد عالم کوهکن ","محمد عالم کوهکن "
1,"Kabul","1-1326-29","Haji Ali Mirzaye","حاجی علی میرزائی ","حاجی علی میرزائی "
1,"Kabul","1-1699-1182","Rashed Nezam","راشد نظام ","راشد نظام "
1,"Kabul","1-1484-202","Ahmad Kumail Mir Shadibeg","احمد کمیل میر شادی بیگ","احمد کمیل میر شادی بیگ"
1,"Kabul","1-1306-43","Zabiullah Almas"," ذبیح الله الماس"," ذبیح الله الماس"
1,"Kabul","1-1255-3","Zeba Safa","زیبا صفا","زیبا صفا"
1,"Kabul","1-1460-217","Mumtaz Yousufzai","ممتاز یوسفزی","ممتاز یوسفزی"
1,"Kabul","1-1828-163","Khalilullah Shinwari","خلیل الله شینواری","خلیل الله شینواری"
1,"Kabul","1-1836-172","Sayed Sardar Aqa Shamshiri","سید سردار آقا شمشیری","سید سردار آقا شمشیری"
1,"Kabul","1-1469-107","Mohammad Aref Moheb","محمد عارف محب ","محمد عارف محب "
1,"Kabul","1-1536-84","Eraj Nezami","ایرج نظامی","ایرج نظامی"
1,"Kabul","1-1642-118","Mohammad Halim Amini","محمد حلیم امینی ","محمد حلیم امینی "
1,"Kabul","1-1026-1019","Alhaj Omar Gull Momand","الحاج عمر ګل مومند","الحاج عمر ګل مومند"
1,"Kabul","1-1142-59","Ahmad Timim Jurat","احمد تمیم جرأت","احمد تمیم جرأت"
1,"Kabul","1-1692-1185","Ghullam Mujtaba Qais","غلام مجتبی قیس ","غلام مجتبی قیس "
1,"Kabul","1-1380-50","Aqil Shah Elyasi","عقیل شاه الیاسی","عقیل شاه الیاسی"
1,"Kabul","1-1314-33","Mohammad Younus Nawandesh","محمدیونس نواندیش","محمدیونس نواندیش"
1,"Kabul","1-1762-114","Sayed Najibullah Faraz","سید نجیب الله فراز","سید نجیب الله فراز"
1,"Kabul","1-1891-164","Sayed Rahman Wahedyar","سید الرحمن واحدیار","سید الرحمن واحدیار"
1,"Kabul","1-1372-3070","Noor Habib Hasir","نورالحبیب  حصیر","نورالحبیب  حصیر"
1,"Kabul","1-1871-179","Qaisullah Samkanai","قیس الله څمکنی","قیس الله څمکنی"
1,"Kabul","1-1665-7","Attaullah Nasib","عطا الله نصیب","عطا الله نصیب"
1,"Kabul","1-1870-143","Abdul Wase Rasool","عبدالواسع رسول","عبدالواسع رسول"
1,"Kabul","1-1298-54","Alhaj Hamidullah Bakhshi","الحاج حمید الله بخشی ","الحاج حمید الله بخشی "
1,"Kabul","1-1337-150","Jamaluddin Hekmatyar","جمال الدین حکمتیار","جمال الدین حکمتیار"
1,"Kabul","35-1360-155","Haji Azizullah Habibi","حاجی عزیز الله حبیبی","حاجی عزیز الله حبیبی"
1,"Kabul","1-1244-82","Haji Gull Rahman Rahmani Mangal","حاجی گلرحمن رحمانی منگل","حاجی گلرحمن رحمانی منگل"
1,"Kabul","1-1230-17","Sayed Abdul Naser Yaqoobi","سید عبدالناصر یعقوبی","سید عبدالناصر یعقوبی"
1,"Kabul","1-1070-77","Sultan Mansoor Osmani","سلطان منصور عثمانی","سلطان منصور عثمانی"
1,"Kabul","1-1323-113","Alhaj Mohammad Hashem Karimi","الحاج محمد هاشم  کریمی ","الحاج محمد هاشم  کریمی "
1,"Kabul","1-1179-9","Sultan Mahmood Daqiq","سلطان محمود دقیق","سلطان محمود دقیق"
1,"Kabul","1-1278-114","Sayed Alem Rasa","سید عالم رسا","سید عالم رسا"
1,"Kabul","1-1022-25","Alhaj Zemarak Padkhwabi","الحاج زمرک پادخوابی","الحاج زمرک پادخوابی"
1,"Kabul","1-1020-8","Mohammad Asghar Wakili Popalzai","محمد اصغر وکیلی پوپلزائی","محمد اصغر وکیلی پوپلزائی"
1,"Kabul","1-1151-60","Dr. Masooda Jalal","داکتر مسعوده جلال","داکتر مسعوده جلال"
1,"Kabul","1-1416-139","Assadullah Karimi","اسد الله کریمی","اسد الله کریمی"
1,"Kabul","1-1108-215","Abdul Wahab Kabuli","عبدالوهاب کابلی","عبدالوهاب کابلی"
1,"Kabul","1-1342-1037","Nazer Hussain Hussainpor","ناظرحسین حسین پور","ناظرحسین حسین پور"
1,"Kabul","1-1404-1012","Sherabuddin Sayar","شیر اب الدین  سیار","شیر اب الدین  سیار"
1,"Kabul","1-1714-1045","Abu-Zar Ghafari","ابوذر غفاری","ابوذر غفاری"
1,"Kabul","1-1032-1049","Eng. Azimullah Esmati","انجنیر عظیم الله عصمتی","انجنیر عظیم الله عصمتی"
1,"Kabul","1-1791-1178","Alhaj Khaibar Zeyarmal","الحاج خیبر زیارمل ","الحاج خیبر زیارمل "
1,"Kabul","1-1171-71","Alhaj Jalaluddin Fakhri","الحاج جلال الدین فخری ","الحاج جلال الدین فخری "
1,"Kabul","1-1834-118","Kabul Khan Tadbir Zurmati","کابل خان تدبیر زرمتی","کابل خان تدبیر زرمتی"
1,"Kabul","1-1168-2029","Amir Mohammad Lakanwal","امیر محمد لکنوال","امیر محمد لکنوال"
1,"Kabul","1-1794-255","Mawlawi Mohammad Mustafa Barikzai","مولوی محمد مصطفی بارکزی","مولوی محمد مصطفی بارکزی"
1,"Kabul","1-1804-1173","Wazir Khan ","وزیر خان ","وزیر خان "
1,"Kabul","1-1256-120","Sayed Karim Mansoor","سید کریم منصور ","سید کریم منصور "
1,"Kabul","1-1837-125","Zolfaqar Omid","ذوالفقار امید ","ذوالفقار امید "
1,"Kabul","1-1673-161","Ustad Darab Ali Aliyar","استاد داراب علی علی یار","استاد داراب علی علی یار"
1,"Kabul","1-2003-137","Eng. Mohammad Afzal Ahmadzai","انجنیر محمد افضل احمدزی ","انجنیر محمد افضل احمدزی "
1,"Kabul","1-1272-20","Lutfullah Quraishi","لطف الله قریشی","لطف الله قریشی"
1,"Kabul","1-1271-9","Alhaj Gen. Sardar Mohammad Abulfazel","الحاج جنرال سردار محمد ابوالفضل ","الحاج جنرال سردار محمد ابوالفضل "
1,"Kabul","1-1726-121","Mohammad Aref Nooristani","محمد عارف نورستانی","محمد عارف نورستانی"
1,"Kabul","1-1172-65","Mohammad Kabir Kamal","محمد کبیر کمال","محمد کبیر کمال"
1,"Kabul","1-1867-256","Ahmad Reshad Mubarez","احمد راشد مبارز","احمد راشد مبارز"
1,"Kabul","1-1490-20","Jamshid Iqbal","جمشید اقبال","جمشید اقبال"
1,"Kabul","1-1009-82","Mohammad Nasim Safi","محمد نسیم صافی","محمد نسیم صافی"
1,"Kabul","1-1712-147","Sayed Nesar Hashemi","سید نثار هاشیمی","سید نثار هاشیمی"
1,"Kabul","1-1647-96","Zaher Khan Ahmadzai","ظاهر خان احمدزی","ظاهر خان احمدزی"
1,"Kabul","1-1377-119","Saranwal Abdul Jalil Mudafe","ثارنوال عبدالجلیل مدافع","ثارنوال عبدالجلیل مدافع"
1,"Kabul","1-1721-1171","Samiullah Mahdi","سمیع الله مهدی ","سمیع الله مهدی "
1,"Kabul","1-1757-1160","Obaidullah Qalamyar","عبیدالله قلم یار ","عبیدالله قلم یار "
1,"Kabul","1-1334-24","Masood Shah","مسعود شاه","مسعود شاه"
1,"Kabul","1-1343-117","Enyatullah Didar","عنایت الله دیدار","عنایت الله دیدار"
1,"Kabul","1-1504-179","Sayed Naser Shah Askarzadah","سید ناصر شاه عسکرزاده ","سید ناصر شاه عسکرزاده "
1,"Kabul","1-1495-211","Afghani Oryakhel","افغانی اوریا  خیل","افغانی اوریا  خیل"
1,"Kabul","1-1134-1214","Aqa Sayeed Malek Sayed Jaan","آقاسعید ملک سید جان","آقاسعید ملک سید جان"
1,"Kabul","1-1640-1102","Qari Ahmad Reshad Khan Mamozai","قاری احمد رشاد خان مموزی","قاری احمد رشاد خان مموزی"
1,"Kabul","1-1004-14","Haji Mohammad Mulla Hamidi","حاجی محمد ملا حمیدی","حاجی محمد ملا حمیدی"
1,"Kabul","1-1304-60","Abdul Latif Nazari","عبدالطیف نظری","عبدالطیف نظری"
1,"Kabul","1-1021-2024","Abdul Hadi Arghandiwal","عبدالهادی ارغندیوال","عبدالهادی ارغندیوال"
1,"Kabul","1-1012-3037","Ahmad Shah Sangdel","احمد شاه سنگدل ","احمد شاه سنگدل "
1,"Kabul","1-1109-112","Ogai Amil","اوگی امیل","اوگی امیل"
1,"Kabul","1-1369-122","Nooria Munsef","نوریه منصف ","نوریه منصف "
1,"Kabul","1-1375-1180","Mohammad Azim ","محمد عظیم ","محمد عظیم "
1,"Kabul","1-1002-14","Sayed Mahdi Anwari","سید مهدی انوری ","سید مهدی انوری "
1,"Kabul","1-1350-81","Hazrat Yousuf Zemarai Ahmadzai","حضرت یوسف زمری احمدزی","حضرت یوسف زمری احمدزی"
1,"Kabul","1-1446-91","Abdul Hadi Khalid","عبدالهادی خالد ","عبدالهادی خالد "
1,"Kabul","1-2004-116","Mohammad Humayoun Noori","محمد همایون نوری ","محمد همایون نوری "
1,"Kabul","1-1634-8","Pariza Rahmani","پریزا رحمانی","پریزا رحمانی"
1,"Kabul","35-1883-152","Vida Saghari","ویدا ساغری","ویدا ساغری"
1,"Kabul","1-1857-201","Essa Mohammad Esmat Qane","عیسی محمد عصمت قانع","عیسی محمد عصمت قانع"
1,"Kabul","1-1632-2","Mohammad Farooq Baraki","محمد فاروق بره کی ","محمد فاروق بره کی "
1,"Kabul","1-1403-18","Eng. Mutasel Khan Komaki","انجنیر متصل خان کومکی","انجنیر متصل خان کومکی"
1,"Kabul","1-1170-95","Brg-Gen. Arkan Harb Ghullam Farooq Nayemi","برید جنرال ارکان حرب غلام فاروق نعیمی","برید جنرال ارکان حرب غلام فاروق نعیمی"
1,"Kabul","1-1702-10","Mohammad Jamil Karzai","محمد جمیل کرزی ","محمد جمیل کرزی "
1,"Kabul","1-1864-127","Mirwais Stanikzai","میرویس ستانکزی","میرویس ستانکزی"
1,"Kabul","1-1262-1163","Mohammad Tamim Nooristani","محمد تمیم نورستانی ","محمد تمیم نورستانی "
1,"Kabul","1-1059-149","Ghullam Qader Sakhizadah","غلام قادر سخی زاده ","غلام قادر سخی زاده "
1,"Kabul","1-1861-257","Shafiq Mubarak Ahmadzai","شفیق مبارک احمدزی","شفیق مبارک احمدزی"
1,"Kabul","1-1045-21","Alhaj Zabiullah Nasiri","الحاج ذبیح الله نصیری","الحاج ذبیح الله نصیری"
1,"Kabul","1-1181-106","Alhaj Mohammad Dawood Paktyawal","الحاج محمد داود پکتیاوال","الحاج محمد داود پکتیاوال"
1,"Kabul","1-1656-129","Mohammad Ajmal Zurmati","محمد اجمل زرمتی ","محمد اجمل زرمتی "
1,"Kabul","1-1351-1158","Parwana Zamani","پروانه زمانی ","پروانه زمانی "
1,"Kabul","1-1083-51","Drs. Frozan Fana","دکتورس فروزان فنا","دکتورس فروزان فنا"
1,"Kabul","35-1769-156","Ustad Laila Barikzai","استاد لیلا بارکزی ","استاد لیلا بارکزی "
1,"Kabul","1-1268-48","sayed Naqibullah Hashemi","سید نقیب الله هاشمی","سید نقیب الله هاشمی"
1,"Kabul","1-1253-98","Dr. Fraidon Noorzad","داکتر فریدون نورزاد","داکتر فریدون نورزاد"
1,"Kabul","1-2006-161","Abdul Maqsood Hassanzadah","عبدالمقصود حسن زاده ","عبدالمقصود حسن زاده "
1,"Kabul","1-1545-50","Abdul Matin Shirzoi","عبدالمتین شیرزوی","عبدالمتین شیرزوی"
1,"Kabul","1-1322-27","Dr. Abdul Ghafoor Taban","داکتر عبدالغفور تابان","داکتر عبدالغفور تابان"
1,"Kabul","1-1570-32","Ustad Abdul Gheyas Gheyasi","ااستاد عبدالغیاث غیاثی","ااستاد عبدالغیاث غیاثی"
1,"Kabul","1-1885-1051","Mohammad Kabir Zamir","محمد کبیر ضمیر","محمد کبیر ضمیر"
1,"Kabul","1-1856-216","Alhaj Shahd Wali Zemawal","الحاج شهد ولی زمه وال","الحاج شهد ولی زمه وال"
1,"Kabul","1-1110-121","Dr. Karima Kohistani","داکتر کریمه کوهستانی","داکتر کریمه کوهستانی"
1,"Kabul","1-1816-144","Alhaj Ghullam Dastgir Chakari","الحاج غلام دستگیر چکری","الحاج غلام دستگیر چکری"
1,"Kabul","1-1739-1044","Jamshid Sofizadah","جمشید صوفی زاده ","جمشید صوفی زاده "
1,"Kabul","1-1773-159","Abdul Hai Maalek","عبدالحی مالک","عبدالحی مالک"
1,"Kabul","1-1318-53","Mohammad Zaki Noori","محمد ذکی نوری","محمد ذکی نوری"
1,"Kabul","1-1731-110","Abdul Kabir","عبدالکبیر","عبدالکبیر"
1,"Kabul","1-1218-1206","Dr. Mir Latifa Begnezhad","داکتر میر لطیفه بیگ نژاد","داکتر میر لطیفه بیگ نژاد"
1,"Kabul","1-1609-15","Nasir Ahmad Ensaf","نصیر احمد انصاف","نصیر احمد انصاف"
1,"Kabul","1-1420-6","Sayed Maroof Hashemi Jahed","سید معروف ها شمی جاهد","سید معروف ها شمی جاهد"
1,"Kabul","1-1521-25","Alhaj Allah Gull Mujahid","الحاج الله گل مجاهد","الحاج الله گل مجاهد"
1,"Kabul","1-1848-195","Bashir Ahmad Bezhan","بشیر احمد بیژن ","بشیر احمد بیژن "
1,"Kabul","1-1410-39","Ghazi Khan Dr. Naqib","غازی خان داکتر نقیب ","غازی خان داکتر نقیب "
1,"Kabul","1-1340-8","Aminullah Patyani","امین الله پتیانی ","امین الله پتیانی "
1,"Kabul","1-1593-7","Alhaj Bedar Zazai","الحاج بیدار ځاځی","الحاج بیدار ځاځی"
1,"Kabul","1-1683-9","Zahir Sultani","ظاهر سلطانی","ظاهر سلطانی"
1,"Kabul","1-1800-1165","Mohammad Ibrahim Az-har","محمد ابراهیم ازهر","محمد ابراهیم ازهر"
1,"Kabul","1-1060-1170","Sayed Jawid Altaf","سید جاوید الطاف ","سید جاوید الطاف "
1,"Kabul","1-1456-54","Madaar Ali Karimi","مدار علی کریمی","مدار علی کریمی"
1,"Kabul","1-1394-1031","Alhaj Lutfullah Haqbin","الحاج  لطف  الله  حقبین","الحاج  لطف  الله  حقبین"
1,"Kabul","1-1852-180","Fawzia Hariri","فوزیه حریری","فوزیه حریری"
1,"Kabul","1-1577-5","Wakil Fatema Nazari","وکیل فاطمه نظری ","وکیل فاطمه نظری "
1,"Kabul","1-1518-43","Mohammad Dawood Waziri","محمد داود وزیری","محمد داود وزیری"
1,"Kabul","1-1801-187","Mohammad Elyas Shams","محمد الیاس شمس","محمد الیاس شمس"
1,"Kabul","1-1551-1181","Alhaj Dost Mohammad Omari","الحاج دوست محمد عمری ","الحاج دوست محمد عمری "
1,"Kabul","1-1533-1184","Wali Ahmadzai","ولی احمدزی ","ولی احمدزی "
1,"Kabul","1-1095-3","Ahmad Shekeb Hadad","احمد شکیب حداد","احمد شکیب حداد"
1,"Kabul","1-1169-30","Dr. Benafsha Bahar Nabizada","داکتربنفشه بهار نبی زاده ","داکتربنفشه بهار نبی زاده "
1,"Kabul","1-1571-42","Habibullah Nemati","حبیب الله نعمتی","حبیب الله نعمتی"
1,"Kabul","1-1600-108","Sabri Andar","صبری اندړ","صبری اندړ"
1,"Kabul","1-1397-24","Dr. Sayed Ibrahim Kaamel","دوکتور سید ابراهیم کامل","دوکتور سید ابراهیم کامل"
1,"Kabul","1-1643-83","Temorshah Ayoubzai","تیمور شاه ایوبزی","تیمور شاه ایوبزی"
1,"Kabul","1-1814-146","Abdul Wakil Rashidi","عبدالوکیل رشیدی ","عبدالوکیل رشیدی "
1,"Kabul","1-1133-136","Eng. Abass Nawyan","انجنیر عباس نویان","انجنیر عباس نویان"
1,"Kabul","1-1130-73","Zabiullah Sharifi","ذبیع الله شریفی","ذبیع الله شریفی"
1,"Kabul","1-1236-18","Alhaj Nazar Mohammad Assad","الحاج نظر محمد اسد","الحاج نظر محمد اسد"
1,"Kabul","1-1261-34","Eng. Mohammad Ibrahim Aslami","انجینر محمد ابراهیم اسلمی","انجینر محمد ابراهیم اسلمی"
1,"Kabul","1-1160-102","Rahmat Gull Mawlazoi Hotak","رحمت گل مولازوی هوتک ","رحمت گل مولازوی هوتک "
1,"Kabul","1-1401-56","Abdul Ghafar Baator","عبدالغفار باتور","عبدالغفار باتور"
1,"Kabul","1-1473-108","Pashtonyar Askarzadah","پشتونیار عسکرزاده","پشتونیار عسکرزاده"
1,"Kabul","1-1491-1213","Dr. Sarfaraz Safi","دوکتور سرفراز صافی ","دوکتور سرفراز صافی "
1,"Kabul","1-1509-2157","Baryalai Bayat","بریالی بیات ","بریالی بیات "
1,"Kabul","1-1122-1084","Taranum Sayedi","ترنم سیدی","ترنم سیدی"
1,"Kabul","1-1689-94","Mohammad Dawood Asaas","محمد داود اساس ","محمد داود اساس "
1,"Kabul","1-1254-21","Dr. Abdul Basir Ranjbar","دکتور عبدالبصیر رنجبر","دکتور عبدالبصیر رنجبر"
1,"Kabul","1-1371-3059","Dr. Ali Asghar Paiman"," دوکتور علی اصغر پیمان"," دوکتور علی اصغر پیمان"
1,"Kabul","1-1190-115","Abdul Ghafoor Rezwani","عبدالغفور رضوانی","عبدالغفور رضوانی"
1,"Kabul","1-1653-14","Sardar Aqa Behzad","سردار آقا بهزاد ","سردار آقا بهزاد "
1,"Kabul","1-1875-153","Zaman Jaan Karimi","زمان جان کریمی","زمان جان کریمی"
1,"Kabul","1-1305-89","Dr. Ramazan Bashardost","داکتر رمضان بشردوست","داکتر رمضان بشردوست"
1,"Kabul","1-1251-67","Ziaullhaq Safi","ضیاء الحق صافی ","ضیاء الحق صافی "
1,"Kabul","1-1121-47","Sayed Edris Mir","سید ادریس میر","سید ادریس میر"
1,"Kabul","35-1696-154","Dr. Anisa pashaye","داکترانیسه پشه یی","داکترانیسه پشه یی"
1,"Kabul","1-1065-75","Baryalai Ghafoori","بریالی غفوری ","بریالی غفوری "
1,"Kabul","1-1327-64","Eng. Zabiullah Zeyarmal","انجینر ذبیح الله زیارمل","انجینر ذبیح الله زیارمل"
1,"Kabul","1-1819-136","Mohammad Qasem Ferdawsi","محمد قاسم فردوسی ","محمد قاسم فردوسی "
1,"Kabul","1-1556-70","Adela Bahram Nezami","عادله بهرام نظامی ","عادله بهرام نظامی "
1,"Kabul","1-1497-139","Sayed Rohullah Sadat Naseri","سید روح الله سادات ناصری","سید روح الله سادات ناصری"
1,"Kabul","1-1411-124","Mirwais Rahimzoi","میرویس رحیم زوی","میرویس رحیم زوی"
1,"Kabul","1-1353-150","Ghullam Yahya Yousufi","غلام یحیی یوسفی","غلام یحیی یوسفی"
1,"Kabul","1-1880-3073","Fatma Hussaini","فاطمه  حسینی","فاطمه  حسینی"
1,"Kabul","1-1067-124","Ferozuddin Amiri","فیروز الدین امیری","فیروز الدین امیری"
1,"Kabul","1-1320-153","Hamed Haqdost","حامد حق دوست ","حامد حق دوست "
1,"Kabul","1-1406-13","Sayed Nasratullah Qubadi","سید نصرت الله قبادی","سید نصرت الله قبادی"
1,"Kabul","1-1698-138","Alhaj Dawood Khan Zazai","الحاج داود خان ځاځی","الحاج داود خان ځاځی"
1,"Kabul","1-1539-169","Baktash Seyawash","بکتاش سیاووش","بکتاش سیاووش"
2,"Kapisa","2-1186-115","Mohammad Faazel Safi","محمدفاضل صافی","محمدفاضل صافی"
2,"Kapisa","2-1397-22","Abdul Zaher Hakimzadah","عبدالظاهر حکیم زاده","عبدالظاهر حکیم زاده"
2,"Kapisa","2-1225-4","Mohammad Rafi Safi","محمد رفیع صافی ","محمد رفیع صافی "
2,"Kapisa","2-1545-48","Shukrullah Mohammadi","شکرالله محمدی","شکرالله محمدی"
2,"Kapisa","2-1541-25","Saara Sirat","ساره سیرت","ساره سیرت"
2,"Kapisa","2-1174-110","Tahera Mirzadah","طاهره میرزاده ","طاهره میرزاده "
2,"Kapisa","2-1505-119","Razia Saadat Habibi","راضیه سعادت حبیبی","راضیه سعادت حبیبی"
2,"Kapisa","2-1297-4","Qari Omid Safi","قاری امید صافی","قاری امید صافی"
2,"Kapisa","2-1305-123","Alhaj Mohammad Masoom Khan Hashemi","الحاج محمدمعصوم خان هاشمی","الحاج محمدمعصوم خان هاشمی"
2,"Kapisa","2-1390-73","Qazi Abdul Razaaq Nejrabi","قاضی عبدالرزاق نجرابی","قاضی عبدالرزاق نجرابی"
2,"Kapisa","2-1266-54","Haji Aqa Jaan Sayedi","حاجی آقاجان سیدی","حاجی آقاجان سیدی"
