"link","file_target","failed"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301018/5962_W130081_Sheet1.jpg","5962_W130081_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301018/5964_W130082_Sheet1.jpg","5964_W130082_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301019/5943_R130101_Sheet1.jpg","5943_R130101_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301019/5944_R130091_Sheet1.jpg","5944_R130091_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301019/5945_R130093_Sheet1.jpg","5945_R130093_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301019/5946_W130084_Sheet1.jpg","5946_W130084_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301019/5947_R130324_Sheet1.jpg","5947_R130324_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301019/5949_W130085_Sheet1.jpg","5949_W130085_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301020/5966_R130087_Sheet1.jpg","5966_R130087_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301020/5970_W130095_Sheet1.jpg","5970_W130095_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301020/5971_R130080_Sheet1.jpg","5971_R130080_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301020/5973_W130091_Sheet1.jpg","5973_W130091_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301020/19073_W130093_Sheet1.jpg","19073_W130093_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301021/5941_W130098_Sheet1.jpg","5941_W130098_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301021/5942_W130097_Sheet1.jpg","5942_W130097_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301022/19034_W130099_Sheet1.jpg","19034_W130099_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301022/19036_R130186_Sheet1.jpg","19036_R130186_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301198/19041_R130089_Sheet1.jpg","19041_R130089_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301198/19042_W130836_Sheet1.jpg","19042_W130836_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301198/19043_W130854_Sheet1.jpg","19043_W130854_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/18983_W130830_Sheet1.jpg","18983_W130830_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/18984_W130859_Sheet1.jpg","18984_W130859_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/18986_R130097_Sheet1.jpg","18986_R130097_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/18987_W130852_Sheet1.jpg","18987_W130852_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/18989_W130823_Sheet1.jpg","18989_W130823_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/18991_W130835_Sheet1.jpg","18991_W130835_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/18992_W130851_Sheet1.jpg","18992_W130851_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/18996_W130819_Sheet1.jpg","18996_W130819_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301199/19031_R130303_Sheet1.jpg","19031_R130303_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302023/6501_W130103_Sheet1.jpg","6501_W130103_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302023/6503_W130102_Sheet1.jpg","6503_W130102_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302024/6379_W130105_Sheet1.jpg","6379_W130105_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302024/6384_W130106_Sheet1.jpg","6384_W130106_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302025/6344_W130109_Sheet1.jpg","6344_W130109_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302025/19084_R130115_Sheet1.jpg","19084_R130115_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302026/6535_R130108_Sheet1.jpg","6535_R130108_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302026/6536_W130111_Sheet1.jpg","6536_W130111_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302026/6537_R130113_Sheet1.jpg","6537_R130113_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302026/6539_W130115_Sheet1.jpg","6539_W130115_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302026/6540_R130106_Sheet1.jpg","6540_R130106_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302027/6459_R130272_Sheet1.jpg","6459_R130272_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302027/6460_R130107_Sheet1.jpg","6460_R130107_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302028/19213_R130317_Sheet1.jpg","19213_R130317_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302028/20014_W130119_Sheet1.jpg","20014_W130119_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302028/20016_W130120_Sheet1.jpg","20016_W130120_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302029/19350_R130051_Sheet1.jpg","19350_R130051_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302029/19351_R130045_Sheet1.jpg","19351_R130045_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302029/19353_R130039_Sheet1.jpg","19353_R130039_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302030/6637_W130125_Sheet1.jpg","6637_W130125_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302030/6667_W130126_Sheet1.jpg","6667_W130126_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302030/6669_W130127_Sheet1.jpg","6669_W130127_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302031/19092_W130128_Sheet1.jpg","19092_W130128_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302031/19093_W130129_Sheet1.jpg","19093_W130129_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302031/19095_R130112_Sheet1.jpg","19095_R130112_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302031/19096_W130131_Sheet1.jpg","19096_W130131_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302031/19098_R130191_Sheet1.jpg","19098_R130191_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302032/6538_W130140_Sheet1.jpg","6538_W130140_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302032/6542_W130135_Sheet1.jpg","6542_W130135_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302032/6543_R130104_Sheet1.jpg","6543_R130104_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302032/6545_R130103_Sheet1.jpg","6545_R130103_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302032/19219_W130134_Sheet1.jpg","19219_W130134_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302032/19223_W130137_Sheet1.jpg","19223_W130137_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302032/19225_W130139_Sheet1.jpg","19225_W130139_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302032/19226_R130192_Sheet1.jpg","19226_R130192_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302034/6560_W130152_Sheet1.jpg","6560_W130152_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302034/6561_W130154_Sheet1.jpg","6561_W130154_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302036/19212_R130199_Sheet1.jpg","19212_R130199_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1302036/19217_W130162_Sheet1.jpg","19217_W130162_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303049/19152_W130173_Sheet1.jpg","19152_W130173_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303049/19175_W130174_Sheet1.jpg","19175_W130174_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303061/6429_R130114_Sheet1.jpg","6429_R130114_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303061/6430_R130118_Sheet1.jpg","6430_R130118_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303061/6436_W130213_Sheet1.jpg","6436_W130213_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303061/6439_R130128_Sheet1.jpg","6439_R130128_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303062/19218_R130309_Sheet1.jpg","19218_R130309_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303062/19220_W130810_Sheet1.jpg","19220_W130810_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303063/6448_W130224_Sheet1.jpg","6448_W130224_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303063/19171_W130222_Sheet1.jpg","19171_W130222_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303064/6371_W130230_Sheet1.jpg","6371_W130230_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303064/6372_W130228_Sheet1.jpg","6372_W130228_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303064/6691_W130226_Sheet1.jpg","6691_W130226_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303064/6692_W130227_Sheet1.jpg","6692_W130227_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1303064/6693_W130229_Sheet1.jpg","6693_W130229_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1304068/6463_W130239_Sheet1.jpg","6463_W130239_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1304068/6464_W130240_Sheet1.jpg","6464_W130240_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1304068/6465_W130241_Sheet1.jpg","6465_W130241_Sheet1.jpg","YES"
