"pc","list_position","x"
"Menbar Awi Bulaq - 2007113",18,"#pc > option:nth-child(18)"
"Quraq old School - 2007114",19,"#pc > option:nth-child(19)"
"Surkh Deh Secondary School - 2007115",20,"#pc > option:nth-child(20)"
"Ali Sena Balkhi Primary School - 2102051",1,"#pc > option:nth-child(1)"
"Qalla Qul Mohammad School - 2102052",2,"#pc > option:nth-child(2)"
"Ali Abad High School - 2102053",3,"#pc > option:nth-child(3)"
"Rah e Marefat High School - 2102054",4,"#pc > option:nth-child(4)"
"Syah Gerd School - 2102056",5,"#pc > option:nth-child(5)"
"Shahrak Turkmaniah School - 2102057",6,"#pc > option:nth-child(6)"
"Abul Mati Balkhi School - 2102058",7,"#pc > option:nth-child(7)"
"Mohammad Yousuf Khairkhwah High School - 2102059",8,"#pc > option:nth-child(8)"
"Shadyan High School - 2102060",9,"#pc > option:nth-child(9)"
"Hazrat Abu Baker Sdeique Mosque - 2103061",1,"#pc > option:nth-child(1)"
"Ustad Zabiullah Shaheed High School - 2103062",2,"#pc > option:nth-child(2)"
"Abu Zaid School - 2103063",3,"#pc > option:nth-child(3)"
"Shiekh Samaruddin Shahab School - 2103064",4,"#pc > option:nth-child(4)"
"Chehel Gazi School - 2103065",5,"#pc > option:nth-child(5)"
"Dehsawar High School - 2103066",6,"#pc > option:nth-child(6)"
"Ka Ka Kot School - 2103067",7,"#pc > option:nth-child(7)"
"Bi Bi Zainab School - 2103068",8,"#pc > option:nth-child(8)"
"Tokhtah School - 2103069",9,"#pc > option:nth-child(9)"
"Saleh Mohammad School - 2103070",10,"#pc > option:nth-child(10)"
"Qalla e Jangi Girls High School - 2103071",11,"#pc > option:nth-child(11)"
"Shiekh Abad School - 2103072",12,"#pc > option:nth-child(12)"
"Shaheed Balkhi High School - 2103073",13,"#pc > option:nth-child(13)"
"Ghulam Mohammad Shaheed School - 2103074",14,"#pc > option:nth-child(14)"
"Abida Balkhi School - 2103075",15,"#pc > option:nth-child(15)"
"Shor Bulaq School - 2104076",1,"#pc > option:nth-child(1)"
"Tandurak School - 2104077",2,"#pc > option:nth-child(2)"
"Nanwayee School - 2104078",3,"#pc > option:nth-child(3)"
"Safid Chashmah School - 2104079",4,"#pc > option:nth-child(4)"
"Shar Shar Sufla School - 2104080",5,"#pc > option:nth-child(5)"
"Yakah Tal School - 2104081",6,"#pc > option:nth-child(6)"
"Shah Enjeer School - 2104082",7,"#pc > option:nth-child(7)"
"Owzom Chah School - 2104083",8,"#pc > option:nth-child(8)"
"Kuhnah Jar Madrassah - 2104084",9,"#pc > option:nth-child(9)"
"Mir Haji School - 2104085",10,"#pc > option:nth-child(10)"
"Khwajah Bandi School - 2104086",11,"#pc > option:nth-child(11)"
"Pas Qadooq School - 2104087",12,"#pc > option:nth-child(12)"
"Jan Bulaq School - 2104088",13,"#pc > option:nth-child(13)"
"Abu Esmat High School - 2105089",1,"#pc > option:nth-child(1)"
"Marmul Lab Sai Girls High School - 2105090",2,"#pc > option:nth-child(2)"
"Parwaz School - 2105091",3,"#pc > option:nth-child(3)"
"Nawbahar High School - 2106092",1,"#pc > option:nth-child(1)"
"Fareedah Girls High School - 2106093",2,"#pc > option:nth-child(2)"
"Amir Mohammad Tokhi School - 2106094",3,"#pc > option:nth-child(3)"
"Haji Kot School - 2106095",4,"#pc > option:nth-child(4)"
"Deragai School - 2106096",5,"#pc > option:nth-child(5)"
"Bahauddin School - 2106097",6,"#pc > option:nth-child(6)"
"Arghon School - 2106098",7,"#pc > option:nth-child(7)"
"Colambo School - 2106099",8,"#pc > option:nth-child(8)"
"Bar Mazyat School - 2106100",9,"#pc > option:nth-child(9)"
"Dewali Maidan School - 2106101",10,"#pc > option:nth-child(10)"
"Baghshor Secondary School - 2106102",11,"#pc > option:nth-child(11)"
"Mohmandan School - 2106103",12,"#pc > option:nth-child(12)"
"Kata Khil School - 2106108",13,"#pc > option:nth-child(13)"
"Speen Kot School - 2106109",14,"#pc > option:nth-child(14)"
"Char Bagh Gulshan School - 2106110",15,"#pc > option:nth-child(15)"
"Shaheed Rahmatullah School - 2106112",16,"#pc > option:nth-child(16)"
"Chahar Sang Boys School - 2106113",17,"#pc > option:nth-child(17)"
"Dehrazi School - 2106114",18,"#pc > option:nth-child(18)"
"Hesarak Girls School - 2106115",19,"#pc > option:nth-child(19)"
"Samar Qandyan Girls School - 2106116",20,"#pc > option:nth-child(20)"
"Owf Melak School - 2106117",21,"#pc > option:nth-child(21)"
"Keshkak School - 2106118",22,"#pc > option:nth-child(22)"
"Mawlana Abdul Rouf Jami School - 2107119",1,"#pc > option:nth-child(1)"
"Qadeem High School - 2107120",2,"#pc > option:nth-child(2)"
"Tajik School - 2107121",3,"#pc > option:nth-child(3)"
"Ae Latan School - 2107122",4,"#pc > option:nth-child(4)"
"Imam Abu Hanifah Mosque - 2107123",5,"#pc > option:nth-child(5)"
"Sayed Jamaluddin Afghani High School - 2107124",6,"#pc > option:nth-child(6)"
"Zawar ha Mosque - 2107125",7,"#pc > option:nth-child(7)"
"Bi Bi Maryam School - 2107126",8,"#pc > option:nth-child(8)"
"Ahmad Al Khuzrowayah School - 2107127",9,"#pc > option:nth-child(9)"
"Haji Nazar Takya Khanahh - 2107128",10,"#pc > option:nth-child(10)"
"Bi Bi Amenah School - 2107129",11,"#pc > option:nth-child(11)"
"Agha Jan Takya Khanahh - 2107130",12,"#pc > option:nth-child(12)"
"Syab School - 2107131",13,"#pc > option:nth-child(13)"
"Qaland Khalili School - 2107132",14,"#pc > option:nth-child(14)"
"Bagh Pahlawan High School - 2107133",15,"#pc > option:nth-child(15)"
"Aster Kot School - 2107134",16,"#pc > option:nth-child(16)"
"Paikan Darah School - 2107135",17,"#pc > option:nth-child(17)"
"Rahmat Abad School - 2107136",18,"#pc > option:nth-child(18)"
"Agahar Sai Mosque - 2107137",19,"#pc > option:nth-child(19)"
"Qaq Lu Sai School - 2107138",20,"#pc > option:nth-child(20)"
"Aaqcha Dalan Takya Khanahh - 2107139",21,"#pc > option:nth-child(21)"
"Dalan Secondary School - 2107140",22,"#pc > option:nth-child(22)"
"Shorchah Mosque - 2107141",23,"#pc > option:nth-child(23)"
"Charkhab School - 2107142",24,"#pc > option:nth-child(24)"
"Pul e Barq School - 2107143",25,"#pc > option:nth-child(25)"
"Qazal Kant School - 2107144",26,"#pc > option:nth-child(26)"
"Naw Qeshlaq Mosque - 2107145",27,"#pc > option:nth-child(27)"
"Janeetu School - 2107146",28,"#pc > option:nth-child(28)"
"Keecha Qazal School - 2107148",29,"#pc > option:nth-child(29)"
"Tabyaq School - 2107149",30,"#pc > option:nth-child(30)"
"Tabyaq School - 2107150",31,"#pc > option:nth-child(31)"
"NULL - 2107315",32,"#pc > option:nth-child(32)"
"Bye Taimoor Clinic - 2108171",1,"#pc > option:nth-child(1)"
"New building of the District Admin Office - 2108172",2,"#pc > option:nth-child(2)"
"Palo Zolai School - 2108173",3,"#pc > option:nth-child(3)"
"Chemtal School - 2108174",4,"#pc > option:nth-child(4)"
"Sar Asyab Boys High School - 2108175",5,"#pc > option:nth-child(5)"
"Mir Qasim Jan School - 2108176",6,"#pc > option:nth-child(6)"
"Rubat School - 2108177",7,"#pc > option:nth-child(7)"
"Rabia Balkhi School - 2109178",1,"#pc > option:nth-child(1)"
"Abu Nasr Faryabi High School - 2109179",2,"#pc > option:nth-child(2)"
"Char Bagh Sayedan School - 2109180",3,"#pc > option:nth-child(3)"
"Hayatan School - 2109181",4,"#pc > option:nth-child(4)"
"Taligak School - 2109182",5,"#pc > option:nth-child(5)"
"Qarshigak Clinic - 2109183",6,"#pc > option:nth-child(6)"
"Ilhaqyah Baghshor School - 2109192",7,"#pc > option:nth-child(7)"
"Bye Mashad School - 2109193",8,"#pc > option:nth-child(8)"
"Afghania Jame Mosque - 2109194",9,"#pc > option:nth-child(9)"
"Hashimabad watani School - 2109195",10,"#pc > option:nth-child(10)"
"Nakhcheerabad School - 2109196",11,"#pc > option:nth-child(11)"
"Surkh Gunbad School - 2109197",12,"#pc > option:nth-child(12)"
"Zadyan School - 2109198",13,"#pc > option:nth-child(13)"
"Shingal School - 2109199",14,"#pc > option:nth-child(14)"
"Anas Waezi School - 2109200",15,"#pc > option:nth-child(15)"
"Mawlana Waezi Boys High School - 2109201",16,"#pc > option:nth-child(16)"
"Shakh Mugheelan School - 2109202",17,"#pc > option:nth-child(17)"
"Khairabad School - 2109203",18,"#pc > option:nth-child(18)"
"Pohand Abdul Rouf Khulmi High School - 2110204",1,"#pc > option:nth-child(1)"
"Tangi School - 2110205",2,"#pc > option:nth-child(2)"
"Khulm Hospital - 2110206",3,"#pc > option:nth-child(3)"
"Khwajah Burhan Boys School - 2110207",4,"#pc > option:nth-child(4)"
"Mahasthi High School - 2110208",5,"#pc > option:nth-child(5)"
"Khulm Boys High School - 2110209",6,"#pc > option:nth-child(6)"
"Shaheed Ahmad Shah Masoud High School - 2110210",7,"#pc > option:nth-child(7)"
"Nahid Shaheed School - 2110211",8,"#pc > option:nth-child(8)"
"Mirza Shams School - 2110212",9,"#pc > option:nth-child(9)"
"Haji Ali Clinic - 2110213",10,"#pc > option:nth-child(10)"
"Sayad Boys School - 2110214",11,"#pc > option:nth-child(11)"
"Yangi Areeq School - 2110215",12,"#pc > option:nth-child(12)"
"Khushtoot Secondary School - 2110216",13,"#pc > option:nth-child(13)"
"Ghazi Abad Secondary School - 2110217",14,"#pc > option:nth-child(14)"
"Nahid Shaheed Secondary School - 2110218",15,"#pc > option:nth-child(15)"
"Deh Hasan School - 2110219",16,"#pc > option:nth-child(16)"
"Deh Wardah village Mosque - 2110220",17,"#pc > option:nth-child(17)"
"Awaljtu Secondary School - 2110221",18,"#pc > option:nth-child(18)"
"Abu Shukoor Balkhi School - 2111234",1,"#pc > option:nth-child(1)"
"District Building - 2111239",2,"#pc > option:nth-child(2)"
"Education Directorate - 2111240",3,"#pc > option:nth-child(3)"
"Arnagha School - 2111243",4,"#pc > option:nth-child(4)"
"Dilbarjeen School - 2111244",5,"#pc > option:nth-child(5)"
"Bozariq School - 2112256",1,"#pc > option:nth-child(1)"
"Ab Jafar School - 2112257",2,"#pc > option:nth-child(2)"
"Behbod School - 2112258",3,"#pc > option:nth-child(3)"
"Tashguzar School - 2112259",4,"#pc > option:nth-child(4)"
"Aranji Basheerli School - 2112260",5,"#pc > option:nth-child(5)"
"Jeertan School - 2112261",6,"#pc > option:nth-child(6)"
"Sarcha Primary School - 2113262",1,"#pc > option:nth-child(1)"
"Naser Khesraw  Girls High School - 2113263",2,"#pc > option:nth-child(2)"
"Tassesat Secondary School - 2113264",3,"#pc > option:nth-child(3)"
"Tuzlaq Secondary School - 2113265",4,"#pc > option:nth-child(4)"
"Aregh Ayaq Secondary School - 2113266",5,"#pc > option:nth-child(5)"
"Joi Jadeed Secondary School - 2113267",6,"#pc > option:nth-child(6)"
"Qaran Toqi School - 2113268",7,"#pc > option:nth-child(7)"
"Kaldar District Center High School - 2113269",8,"#pc > option:nth-child(8)"
"Bozaarekh Secondary School - 2113270",9,"#pc > option:nth-child(9)"
"Taza Areegh Jame Mosque - 2113271",10,"#pc > option:nth-child(10)"
"Kuhnah Kaldar village Secondary School - 2113272",11,"#pc > option:nth-child(11)"
"Kushindah Bala School - 2114273",1,"#pc > option:nth-child(1)"
"Kushindah Bala Girls School - 2114274",2,"#pc > option:nth-child(2)"
"Kushindah Payan School - 2114275",3,"#pc > option:nth-child(3)"
"Qushum Sai Mosque - 2114276",4,"#pc > option:nth-child(4)"
"Markaz Ijtemai (Social Center) - 2114277",5,"#pc > option:nth-child(5)"
"Chashma e Lalmi Mosque - 2114278",6,"#pc > option:nth-child(6)"
"Aaq Kupruk School - 2114279",7,"#pc > option:nth-child(7)"
"Chashma Sawal School - 2114280",8,"#pc > option:nth-child(8)"
"Bam Pusht School - 2114281",9,"#pc > option:nth-child(9)"
"Qaryah e Soukhtah School - 2114282",10,"#pc > option:nth-child(10)"
"Sarab School - 2114283",11,"#pc > option:nth-child(11)"
"Chakanah Payan School - 2114284",12,"#pc > option:nth-child(12)"
"Qurbye SehDarakht School - 2114285",13,"#pc > option:nth-child(13)"
"Abi Hurairah School - 2114286",14,"#pc > option:nth-child(14)"
"Khwajah Surkh School - 2114287",15,"#pc > option:nth-child(15)"
"Tonj School - 2114288",16,"#pc > option:nth-child(16)"
"Pestah Mazar Mosque - 2114289",17,"#pc > option:nth-child(17)"
"Karam Shahi Mosque - 2114290",18,"#pc > option:nth-child(18)"
"Chakanah Bala School - 2114291",19,"#pc > option:nth-child(19)"
"Wakhushk School - 2114292",20,"#pc > option:nth-child(20)"
"Shiekh Sar Darah School - 2114294",21,"#pc > option:nth-child(21)"
"Bayah School - 2115295",1,"#pc > option:nth-child(1)"
"Khatimul Anbya High School - 2115296",2,"#pc > option:nth-child(2)"
"Imam Hasan School - 2115297",3,"#pc > option:nth-child(3)"
"Abu Zar Ghafari School - 2115298",4,"#pc > option:nth-child(4)"
"Khwajah Roshnayee School - 2115299",5,"#pc > option:nth-child(5)"
"Bazar Kuhnah School - 2115300",6,"#pc > option:nth-child(6)"
"Bakhtgan Mosque - 2115301",7,"#pc > option:nth-child(7)"
"Imam Mahdi School - 2115302",8,"#pc > option:nth-child(8)"
"Abdulgan Secondary School - 2115303",9,"#pc > option:nth-child(9)"
"Mahal Mujtame Shura (Shura Gathering place) - 2115304",10,"#pc > option:nth-child(10)"
"Chuqurak School - 2115305",11,"#pc > option:nth-child(11)"
"Kalan Balouch Mosque - 2115306",12,"#pc > option:nth-child(12)"
"Rashkan Mosque - 2115307",13,"#pc > option:nth-child(13)"
"Aylaqia Girls School - 2115308",14,"#pc > option:nth-child(14)"
"Abul Qasim School - 2115309",15,"#pc > option:nth-child(15)"
"Awmki Primary School - 2115310",16,"#pc > option:nth-child(16)"
"Mir Hashim School - 2115311",17,"#pc > option:nth-child(17)"
"Khwajah Ahmad Sewi School - 2115312",18,"#pc > option:nth-child(18)"
"Khwajah Ahmad Wali School - 2115313",19,"#pc > option:nth-child(19)"
"Pestah Balouch School - 2115314",20,"#pc > option:nth-child(20)"
"Administration and Accounting Institute - 2101001",1,"#pc > option:nth-child(1)"
"Seelo - 2101002",2,"#pc > option:nth-child(2)"
"Wazir Akbar Khan School - 2101003",3,"#pc > option:nth-child(3)"
"Sultan Razia High School - 2101004",4,"#pc > option:nth-child(4)"
"Mazar Municipality Building - 2101005",5,"#pc > option:nth-child(5)"
"Fatima Balkhi High School - 2101006",6,"#pc > option:nth-child(6)"
"Qazi Hameeduddin School - 2101007",1,"#pc > option:nth-child(1)"
"Asadyah Darulhefaz - 2101008",2,"#pc > option:nth-child(2)"
"Gowhar Shad Begum High School - 2101009",3,"#pc > option:nth-child(3)"
"Hashim Barat High School - 2101010",4,"#pc > option:nth-child(4)"
"Agriculture Directorate - 2101011",5,"#pc > option:nth-child(5)"
"Bakhtar High School - 2101012",1,"#pc > option:nth-child(1)"
"Baktash School - 2101013",2,"#pc > option:nth-child(2)"
"Ayesha Afghan High School - 2101014",3,"#pc > option:nth-child(3)"
"Sultan Ghyasuddin School - 2101015",4,"#pc > option:nth-child(4)"
"Mawlana Jalaluddin School - 2101016",1,"#pc > option:nth-child(1)"
"Abu Muslim Khurasani School - 2101017",2,"#pc > option:nth-child(2)"
"Nasaji - 2101018",1,"#pc > option:nth-child(1)"
"Sayed Ismael Balkhi School - 2101019",2,"#pc > option:nth-child(2)"
"Nahar Toup - 2101020",3,"#pc > option:nth-child(3)"
"Yulmarb Uzbakiah School - 2101021",4,"#pc > option:nth-child(4)"
"Roshana Balkhi School - 2101022",5,"#pc > option:nth-child(5)"
"Gowhar Khatoon High School - 2101023",6,"#pc > option:nth-child(6)"
"Isteqlal High School - 2101024",7,"#pc > option:nth-child(7)"
"Shiekh Shahab School - 2101025",1,"#pc > option:nth-child(1)"
"Oil and Gas Institute - 2101026",2,"#pc > option:nth-child(2)"
"Ghulam Rasoul Sanayee School - 2101027",3,"#pc > option:nth-child(3)"
"Hilaludin Balkhi School - 2101044",4,"#pc > option:nth-child(4)"
"Ustad Jahid School - 2101028",1,"#pc > option:nth-child(1)"
"Daqeeqi Balkhi High School - 2101029",2,"#pc > option:nth-child(2)"
"Turabi School - 2101030",3,"#pc > option:nth-child(3)"
"Khurasan Girls School - 2101031",4,"#pc > option:nth-child(4)"
"Maqsoodullah Shaheed School - 2101032",5,"#pc > option:nth-child(5)"
"Shaheed Abdul Ali Mazari School - 2101033",1,"#pc > option:nth-child(1)"
"Bukhdi Boys Secondary School - 2101034",2,"#pc > option:nth-child(2)"
"Hedayatullah Naqshbandi School - 2101035",3,"#pc > option:nth-child(3)"
"Noor Khuda School - 2101036",4,"#pc > option:nth-child(4)"
"Balkh Bastan High School - 2101037",5,"#pc > option:nth-child(5)"
"Dawlat Abad Awal School - 2101038",1,"#pc > option:nth-child(1)"
"Sayed Yahya Omeri School - 2101039",2,"#pc > option:nth-child(2)"
"Nawbahar School - 2101040",3,"#pc > option:nth-child(3)"
"Mahdiah School - 2101041",4,"#pc > option:nth-child(4)"
"Ghazi Amanullah High School - 2101042",5,"#pc > option:nth-child(5)"
"Abdul Hafiz Jalili Primary School - 2101043",6,"#pc > option:nth-child(6)"
"Abdul Qader Khulmi Secondary School - 2101045",1,"#pc > option:nth-child(1)"
"Ustad Wejdan High School - 2101046",2,"#pc > option:nth-child(2)"
"Shaheed Abdul Ali Mazari School no. 2 - 2101047",3,"#pc > option:nth-child(3)"
"Sejadiah High School no. 1 - 2101048",4,"#pc > option:nth-child(4)"
"Abu Rehan Alberouni Secondary School - 2101049",5,"#pc > option:nth-child(5)"
"Ali Chopan High School - 2101050",6,"#pc > option:nth-child(6)"
"Minhajul Seraj High School - 2201001",1,"#pc > option:nth-child(1)"
"Imam Yahya High School - 2201002",2,"#pc > option:nth-child(2)"
"Asyabad Girls High School - 2201003",3,"#pc > option:nth-child(3)"
"Rahmatabad High School - 2201004",4,"#pc > option:nth-child(4)"
"Jawzjan Girls High School - 2201005",5,"#pc > option:nth-child(5)"
"Alqani Jame Mosque - 2201006",6,"#pc > option:nth-child(6)"
"Baghawi Ulya Boys High School - 2201007",7,"#pc > option:nth-child(7)"
"Qashqari village School - 2201014",8,"#pc > option:nth-child(8)"
"Angoot Uzbakiah High School - 2201015",9,"#pc > option:nth-child(9)"
"Baghawi Sufla High School - 2201016",10,"#pc > option:nth-child(10)"
"Baghawi Uzbakyah Secondary School - 2201017",11,"#pc > option:nth-child(11)"
"Sang Tawdah ha Madrassah - 2201018",12,"#pc > option:nth-child(12)"
"Had Bakhshi Primary School - 2201030",13,"#pc > option:nth-child(13)"
"Sayed Abad High School - 2201032",14,"#pc > option:nth-child(14)"
"Khanqah Malaki Mosque - 2201033",15,"#pc > option:nth-child(15)"
"Qush Tepah High School - 2201034",16,"#pc > option:nth-child(16)"
"Shah Chinar High School - 2201035",17,"#pc > option:nth-child(17)"
"Chahar Bagh Girls High School - 2201036",18,"#pc > option:nth-child(18)"
"Qaragho High School - 2201037",19,"#pc > option:nth-child(19)"
"Korak Uzbakyah Secondary School - 2201038",20,"#pc > option:nth-child(20)"
"Angushkah Secondary School - 2202042",1,"#pc > option:nth-child(1)"
"Mulla Sakhidad Girls High School - 2202043",2,"#pc > option:nth-child(2)"
"Mohammad Amin Shaheed Secondary School - 2204082",1,"#pc > option:nth-child(1)"
"Sozma Qalla Uzbakiah Jame Mosque - 2204083",2,"#pc > option:nth-child(2)"
"Faizabad Jame Mosque - 2204084",3,"#pc > option:nth-child(3)"
"Safar Qeshlaq Mosque - 2204085",4,"#pc > option:nth-child(4)"
"Bagh Ishaq Village Jame Mosque - 2204093",5,"#pc > option:nth-child(5)"
"Sabzi Kalan Jame Mosque - 2204094",6,"#pc > option:nth-child(6)"
"Aspand Sai School - 2204095",7,"#pc > option:nth-child(7)"
"Takzar girls High School no. 2 - 2205097",1,"#pc > option:nth-child(1)"
"Shahr Kuhnah Takzar Boys Secondary School - 2205098",2,"#pc > option:nth-child(2)"
"Baharak Girls Secondary School - 2205099",3,"#pc > option:nth-child(3)"
"Shabokand village Mosque - 2205100",4,"#pc > option:nth-child(4)"
"Masjid Sab Girls High School - 2205102",5,"#pc > option:nth-child(5)"
"Toupkhanah Boys Secondary School - 2205103",6,"#pc > option:nth-child(6)"
"Kabod Aab Secondary School - 2205107",7,"#pc > option:nth-child(7)"
"Qeshlaq Kuhnah village Madrassah - 2205108",8,"#pc > option:nth-child(8)"
"Charu Boys High School - 2205109",9,"#pc > option:nth-child(9)"
"Aaq Pi Boys Secondary School - 2205110",10,"#pc > option:nth-child(10)"
"Farushqan Myanah Secondary School - 2205111",11,"#pc > option:nth-child(11)"
"Chinar Jae Mosque - 2205112",12,"#pc > option:nth-child(12)"
"Larak Secondary School - 2205113",13,"#pc > option:nth-child(13)"
"Arab Bye village Secondary School - 2205114",14,"#pc > option:nth-child(14)"
"Khwajah Surkh School - 2205115",15,"#pc > option:nth-child(15)"
"Archa Tu Primary School - 2205116",16,"#pc > option:nth-child(16)"
"Qutanmast village Boys High School - 2206121",1,"#pc > option:nth-child(1)"
"Yultarab Girls Secondary School - 2206122",2,"#pc > option:nth-child(2)"
"Malikan village Madrassah - 2206123",3,"#pc > option:nth-child(3)"
"Ilhaqya Karan School - 2206124",4,"#pc > option:nth-child(4)"
"Khwajah Nehan Jame Mosque - 2206125",5,"#pc > option:nth-child(5)"
"Shah Mard village Madrassah - 2206126",6,"#pc > option:nth-child(6)"
"Abdarah village Mosque - 2206127",7,"#pc > option:nth-child(7)"
"Aabkhor village Secondary School - 2206128",8,"#pc > option:nth-child(8)"
"Haji Sarwar Mosque - 2206129",9,"#pc > option:nth-child(9)"
"Sayad Secondary School - 2206130",10,"#pc > option:nth-child(10)"
"Alghan village Jame Mosque - 2206131",11,"#pc > option:nth-child(11)"
"Alghan Afghania Secondary School - 2206132",12,"#pc > option:nth-child(12)"
"Shakyar Primary School - 2206133",13,"#pc > option:nth-child(13)"
"Ghajoor Mosque - 2206135",14,"#pc > option:nth-child(14)"
"Karez village Secondary School - 2206136",15,"#pc > option:nth-child(15)"
"Sayed Jamaluddin High School - 2207137",1,"#pc > option:nth-child(1)"
"Khwal Syagak Mosque - 2207138",2,"#pc > option:nth-child(2)"
"Pai Zyarat Jame Mosque - 2207139",3,"#pc > option:nth-child(3)"
"Pegholah Madrassah - 2207140",4,"#pc > option:nth-child(4)"
"Zawj Madrassah - 2207141",5,"#pc > option:nth-child(5)"
"Khurma Takht Madrassah - 2207142",6,"#pc > option:nth-child(6)"
"Owsh village School - 2207143",7,"#pc > option:nth-child(7)"
"Shaheed Arifi High School - 2207144",8,"#pc > option:nth-child(8)"
"Du Shakh School - 2207145",9,"#pc > option:nth-child(9)"
"Tagab Takht Madrassah - 2207146",10,"#pc > option:nth-child(10)"
"Tal Ashiqan Madrassah - 2207147",11,"#pc > option:nth-child(11)"
"Tolo Jawrazi High School - 2207148",12,"#pc > option:nth-child(12)"
"Peetab Secondary School - 2207149",13,"#pc > option:nth-child(13)"
"Darah e Qazi Girls High School - 2301001",1,"#pc > option:nth-child(1)"
"Sultan Alauddin Ghouri High School - 2301002",2,"#pc > option:nth-child(2)"
"Sultan Razia Ghowri High School - 2301003",3,"#pc > option:nth-child(3)"
"Maidan Hawai Girls High School - 2301004",4,"#pc > option:nth-child(4)"
"Pozlech Boys High School - 2301005",5,"#pc > option:nth-child(5)"
"Qatas Sufla Secondary School - 2301006",6,"#pc > option:nth-child(6)"
"Tajik hai Sarkasi Mosque - 2301007",7,"#pc > option:nth-child(7)"
"Kasi Ulya School - 2301008",8,"#pc > option:nth-child(8)"
"Soufak Girls School - 2301009",9,"#pc > option:nth-child(9)"
"Alnader School - 2301010",10,"#pc > option:nth-child(10)"
"Abdul Momin Shaheed Girls School - 2301013",11,"#pc > option:nth-child(11)"
"Ahangaran School - 2301014",12,"#pc > option:nth-child(12)"
"Tagha Taimoor School - 2301015",13,"#pc > option:nth-child(13)"
"Khwajah Bahari Secondary School - 2301016",14,"#pc > option:nth-child(14)"
"Kandiwal Girls Secondary School - 2301017",15,"#pc > option:nth-child(15)"
"Dehak Ghori ha Mosque - 2301018",16,"#pc > option:nth-child(16)"
"Farouq Shaheed School - 2301025",17,"#pc > option:nth-child(17)"
"Pahlo Sang Secondary School - 2301026",18,"#pc > option:nth-child(18)"
"Gashak Zartali School - 2301027",19,"#pc > option:nth-child(19)"
"Zartali School - 2301028",20,"#pc > option:nth-child(20)"
"Shiekh Al Mand - 2301029",21,"#pc > option:nth-child(21)"
"Tallah Secondary School - 2301030",22,"#pc > option:nth-child(22)"
"Tusraghi School - 2301031",23,"#pc > option:nth-child(23)"
"Mohamad Rasoul Shaheed High School - 2301032",24,"#pc > option:nth-child(24)"
"Mohammad Omer Shaheed Secondary School - 2301033",25,"#pc > option:nth-child(25)"
"Girls Secondary Madrassah - 2301034",26,"#pc > option:nth-child(26)"
"Badgah Girls High School - 2301035",27,"#pc > option:nth-child(27)"
"Dahan Tasruqi Secondary School - 2301036",28,"#pc > option:nth-child(28)"
"Bandar Ghawnak High School - 2301058",29,"#pc > option:nth-child(29)"
"Khwajah Ghar High School - 2301059",30,"#pc > option:nth-child(30)"
"Palaw Surkh Secondary School - 2301060",31,"#pc > option:nth-child(31)"
"Bazar Lakhshak Jame Mosque - 2301061",32,"#pc > option:nth-child(32)"
"Shorah Zar Sufla Mosque - 2301062",33,"#pc > option:nth-child(33)"
"Lashkarah School - 2301063",34,"#pc > option:nth-child(34)"
"Barah Khanah School - 2301065",35,"#pc > option:nth-child(35)"
"Pelal Gorgi village Mosque - 2301066",36,"#pc > option:nth-child(36)"
"Maidan Barah Khanah High School - 2301067",37,"#pc > option:nth-child(37)"
"Sanmai Rakhna Safid Mosque - 2301068",38,"#pc > option:nth-child(38)"
"Shorak Kalan Mosque - 2301073",39,"#pc > option:nth-child(39)"
"Duleenah School - 2302085",1,"#pc > option:nth-child(1)"
"Sang Shora Itefaq High School - 2303095",1,"#pc > option:nth-child(1)"
"Darwazah Secondary School - 2303096",2,"#pc > option:nth-child(2)"
"Naram The High School - 2303097",3,"#pc > option:nth-child(3)"
"Tel Bye Nazar High School - 2303098",4,"#pc > option:nth-child(4)"
"Education Department Dawlatyar - 2303099",5,"#pc > option:nth-child(5)"
"Bazar Deh Murdah - 2303100",6,"#pc > option:nth-child(6)"
"Ali Bazar village Mosque - 2303101",7,"#pc > option:nth-child(7)"
"Sangar Secondary School - 2303102",8,"#pc > option:nth-child(8)"
"Qazi Jame Mosque - 2303106",9,"#pc > option:nth-child(9)"
"Shar Shar Ulya High School - 2303107",10,"#pc > option:nth-child(10)"
"Garmabak Mosque - 2303108",11,"#pc > option:nth-child(11)"
"Lokah Mazar Mosque - 2303109",12,"#pc > option:nth-child(12)"
"Sheneah Boys High School - 2303110",13,"#pc > option:nth-child(13)"
"Gari Imamdad village Mosque - 2303111",14,"#pc > option:nth-child(14)"
"Gul Tepah School - 2304121",1,"#pc > option:nth-child(1)"
"Nai Fatan Mosque - 2304123",2,"#pc > option:nth-child(2)"
"Peetab High School - 2305144",1,"#pc > option:nth-child(1)"
"Khwajah Wahjuddin High School - 2305151",2,"#pc > option:nth-child(2)"
"Khwajah Boor Primary School - 2306155",1,"#pc > option:nth-child(1)"
"Tang Helmah High School - 2306156",2,"#pc > option:nth-child(2)"
"Dahanah e Talkhaki School - 2306157",3,"#pc > option:nth-child(3)"
"Karez Ishaq Mosque - 2306158",4,"#pc > option:nth-child(4)"
"Jarg Madrassah - 2306159",5,"#pc > option:nth-child(5)"
"Dahanah e Minarah Primary School - 2306160",6,"#pc > option:nth-child(6)"
"Sar Chashmah School - 2306161",7,"#pc > option:nth-child(7)"
