"province_code","candidate_name_eng","candidate_gender"
"11","Said Wali Hussani","Male"
"11","Muhibullah Woluswal","Male"
"11","Said-u-Rahman Sabwoon","Male"
"11","Muhibullah","Male"
"12","Muhammad Azim Haidari","Male"
"12"," Abdul Ghani Atmar","Male"
"12"," Hajji Sardar Agha A.K.A Barialay","Male"
"12","Safi-u-din Mudasir Laghmani","Male"
"12","Sheren Taj Sahak","Female"
"12","Saranwal Aziz-u-Rahman","Male"
"12","Muhammad  Homayoon Haqmal Kamalpur","Male"
"12","Sayed Zabihullah Abas","Male"
"12","Mualim Asadullah Asad","Male"
"12","Eng. Dost Muhammad","Male"
"12"," Ghulam Sakhi Shaarai","Male"
"12","Eng. Zabihullah Hamidi","Male"
"13","Liza Ghauwsi","Female"
"13","Sayed Bibi Muahid","Female"
"13","Alhaj Muhammad Zubair","Male"
"13","Qari Jamal‐u‐din Marabit","Male"
"14"," Aqil Mah Sakhizada Pamiri","Female"
"14"," Sadatullah Hamdard","Male"
"14","Hajji Abdul Haq Haqani","Male"
"14","Muhammad Rahman Pahlawan Zada","Male"
"14","Abdul Karim","Male"
"14","Belqis Najmi","Female"
"14"," Muhibullah Zeiayee","Male"
"14","Muhammad Azim Mosawi","Male"
"14","Alhaj Puhanyar  Ustad MuhammadSediq Sabah","Male"
"14","Qari Nematullah Nastu","Male"
"14","Amanullah Emaan","Male"
"14","Maulawi Abdul Jabar Furqani","Male"
"15"," Amaad ‐ud‐ Din","Male"
"15","Abdul Moien","Male"
"15"," Muhammad Essa","Male"
"15"," Sayed Khan Mufradzada","Male"
"15"," Malim Ashraf ‐ud‐ Din","Male"
"15"," Ihsanullah Sadat","Male"
"15","Mawlawi  Muhammad Ibrahim alik","Male"
"15","Dr. Muhibullah Katawazai","Male"
"15","Alhaj Abdul Rahman","Male"
"16","Dr. Ghulam Rasol Safari","Male"
"16","Alhaj Shir Muhammad Abid","Male"
"16","Abdul Samad Stanikzai","Male"
"16","Makhdoom Khalil Ahmad Khenjani","Male"
"16","Eng. Habib ‐ur‐ Rahman Habib","Male"
"16","Abdul Jalil Porshur","Male"
"16","Muhammad Zahir Malik Zad","Male"
"16","Eng. Ahmad Zahir ud‐ Din Azhar","Male"
"16","Jamila Ghorbandi","Female"
"16","Maulawi Saraj ‐ud‐ Din Seerat","Male"
"16","Fazal ‐ul‐ Haq Andarabi","Male"
"16","Shir Khan","Male"
"16","Muhammad Hussain","Male"
"16","Hamida","Female"
"16","Maulawi Mufti Haq Nawaz","Male"
"16","Dr. Mahai Din Paykan Haidari","Male"
"16","Sayed Mustafa Seddiqi","Male"
"16","Eng. Abdul Basher Basharatullah","Male"
"16","Zarmina Barikzai","Female"
"16","Din Muhammad Nasrullahi","Male"
"16","Amir Hayat Murad","Male"
"16","Dr. Matiullah Sharq","Male"
"16","Mir Haidar Andarabi","Male"
"17"," Alhaj Assadullah Omar Khil","Male"
"17"," Alhaj Maulawi Haq Murad Hamid","Male"
"17","Dr. Juma Bawari","Male"
"17","Alhaj Muhammad Sami Aymaq","Male"
"17"," Muhammad Musa Rahimi","Male"
"17"," Yama Khan","Male"
"17","Dr. Sayed Badakhsh","Male"
"17","Bibi Fatima Hofiani","Female"
"17","Eng. Wali Muhammad Akseer","Male"
"17","Sharaf ‐ud‐ Din","Male"
"17"," Dr. Ghulam Habib","Male"
"17"," Abdul Hadi Faizi","Male"
"17","Fahima Farhat","Female"
"17","Alhaj Amam Qul Sabir","Male"
"18","Makhdum Qari Saraj-u-din Mujahid","Male"
"18","Senator Khadija Hussaini","Female"
"18","Abdul Ahmad Tatar","Male"
"18","Muhammad Zahir Muwafaq","Male"
"19","Tahira Haqjo","Female"
"19"," Qamar Noori","Female"
