"province_code","district_code","pc_code","ps_code","prelim_reporting","final_reporting"
"01","0101","0101090","0101090-02","YES","YES"
"01","0101","0101090","0101090-03","YES","YES"
"01","0101","0101090","0101090-04","YES","YES"
"01","0101","0101091","0101091-01","YES","YES"
"01","0101","0101091","0101091-02","YES","YES"
"01","0101","0101091","0101091-03","YES","YES"
"01","0101","0101091","0101091-04","YES","NO"
"01","0101","0101092","0101092-01","YES","YES"
"01","0101","0101092","0101092-02","YES","YES"
"01","0101","0101092","0101092-03","YES","YES"
"01","0101","0101092","0101092-04","YES","YES"
"01","0101","0101092","0101092-05","YES","YES"
"01","0101","0101092","0101092-06","YES","YES"
"01","0101","0101094","0101094-01","YES","YES"
"01","0101","0101094","0101094-02","YES","YES"
"01","0101","0101094","0101094-03","YES","YES"
"01","0101","0101094","0101094-04","YES","YES"
"01","0101","0101095","0101095-01","YES","YES"
"01","0101","0101095","0101095-02","YES","YES"
"01","0101","0101096","0101096-01","YES","YES"
"01","0101","0101097","0101097-01","YES","YES"
"01","0101","0101097","0101097-02","YES","YES"
"01","0101","0101099","0101099-01","YES","YES"
"01","0101","0101099","0101099-02","YES","YES"
"01","0101","0101099","0101099-03","YES","YES"
"01","0101","0101099","0101099-04","YES","YES"
"01","0101","0101099","0101099-05","YES","YES"
"01","0101","0101099","0101099-06","YES","YES"
"01","0101","0101100","0101100-01","YES","YES"
"01","0101","0101100","0101100-02","YES","YES"
"01","0101","0101100","0101100-03","YES","YES"
"01","0101","0101100","0101100-04","YES","YES"
"01","0101","0101100","0101100-05","YES","YES"
"01","0101","0101100","0101100-06","YES","YES"
"01","0101","0101100","0101100-07","YES","YES"
"01","0101","0101100","0101100-08","YES","YES"
"01","0101","0101101","0101101-01","YES","YES"
"01","0101","0101101","0101101-02","YES","YES"
"01","0101","0101101","0101101-03","YES","YES"
"01","0101","0101101","0101101-04","YES","YES"
"01","0101","0101101","0101101-05","YES","YES"
"01","0101","0101101","0101101-06","YES","YES"
"01","0101","0101102","0101102-01","YES","YES"
"01","0101","0101102","0101102-02","YES","YES"
"01","0101","0101102","0101102-03","YES","YES"
"01","0101","0101102","0101102-04","YES","YES"
"01","0101","0101102","0101102-05","YES","NO"
"01","0101","0101103","0101103-01","YES","YES"
"01","0101","0101103","0101103-02","YES","YES"
"01","0101","0101103","0101103-03","YES","YES"
"01","0101","0101103","0101103-04","YES","YES"
"01","0101","0101103","0101103-05","YES","YES"
"01","0101","0101103","0101103-06","YES","YES"
"01","0101","0101104","0101104-01","YES","YES"
"01","0101","0101104","0101104-02","YES","YES"
"01","0101","0101104","0101104-03","YES","YES"
"01","0101","0101104","0101104-04","YES","YES"
"01","0101","0101105","0101105-01","YES","YES"
"01","0101","0101106","0101106-01","YES","YES"
"01","0101","0101106","0101106-02","YES","YES"
"01","0101","0101106","0101106-03","YES","YES"
"01","0101","0101106","0101106-04","YES","YES"
"01","0101","0101109","0101109-01","YES","YES"
"01","0101","0101109","0101109-02","YES","YES"
"01","0101","0101110","0101110-01","YES","YES"
"01","0101","0101110","0101110-02","YES","YES"
