"province_code","province_name","province_votes","candidate_code","serial_number","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","iec_vote_total","vote_share","candidate_rank","results_date","results_status","calculated_vote_total","error"
"01","Kabul",570353,"1-1215-103",469,470,"Abdul Bari Ramin Azimi","عبدالباری رامین عظیمی","عبدالباری رامین عظیمی",264,0.000462871239390342,394,"2019-05-15","Results Status : Certified",192,"ERROR"
"01","Kabul",570353,"1-1609-15",746,747,"Nasir Ahmad Ensaf","نصیر احمد انصاف","نصیر احمد انصاف",263,0.000461117939241137,395,"2019-05-15","Results Status : Certified",160,"ERROR"
"01","Kabul",570353,"1-1640-1102",702,703,"Qari Ahmad Reshad Khan Mamozai","قاری احمد رشاد خان مموزی","قاری احمد رشاد خان مموزی",261,0.000457611338942725,396,"2019-05-15","Results Status : Certified",161,"ERROR"
"01","Kabul",570353,"1-1348-181",551,552,"Dr. Ghullam Dastgir Elyas","دوکتور غلام دستگیر الیاس","دوکتور غلام دستگیر الیاس",260,0.000455858038793519,397,"2019-05-15","Results Status : Certified",179,"ERROR"
"01","Kabul",570353,"1-1079-1166",573,574,"Alhaj Mohammad Omer Marjan","الحاج محمد عمر مرجان ","الحاج محمد عمر مرجان ",259,0.000454104738644313,398,"2019-05-15","Results Status : Certified",222,"ERROR"
"01","Kabul",570353,"1-1584-44",245,245,"Shakila Ibrahim","شکیلا ابراهیم ","شکیلا ابراهیم ",258,0.000452351438495107,399,"2019-05-15","Results Status : Certified",150,"ERROR"
"01","Kabul",570353,"1-1346-1017",568,569,"Commander Mir Alam Haqpal","قومندان میر علم حقپال","قومندان میر علم حقپال",256,0.000448844838196696,400,"2019-05-15","Results Status : Certified",200,"ERROR"
"01","Kabul",570353,"1-1078-11",452,453,"Mustafa Arian Tarakhel","مصطفی آرین تره خیل","مصطفی آرین تره خیل",255,0.00044709153804749,401,"2019-05-15","Results Status : Certified",200,"ERROR"
"01","Kabul",570353,"1-1392-27",430,431,"Khan Mohammad Khuram","خان محمد خرم","خان محمد خرم",255,0.00044709153804749,401,"2019-05-15","Results Status : Certified",196,"ERROR"
"01","Kabul",570353,"1-1151-60",668,669,"Dr. Masooda Jalal","داکتر مسعوده جلال","داکتر مسعوده جلال",250,0.000438325037301461,402,"2019-05-15","Results Status : Certified",192,"ERROR"
"01","Kabul",570353,"1-1244-82",660,661,"Haji Gull Rahman Rahmani Mangal","حاجی گلرحمن رحمانی منگل","حاجی گلرحمن رحمانی منگل",250,0.000438325037301461,402,"2019-05-15","Results Status : Certified",113,"ERROR"
"01","Kabul",570353,"1-1076-50",88,88,"haji Sekandar Fraji","حاجی سکندر فراجی","حاجی سکندر فراجی",249,0.000436571737152255,403,"2019-05-15","Results Status : Certified",195,"ERROR"
"01","Kabul",570353,"1-1603-74",506,507,"Sayed Rohullah Hussaini","سید روح الله حسینی ","سید روح الله حسینی ",248,0.000434818437003049,404,"2019-05-15","Results Status : Certified",181,"ERROR"
"01","Kabul",570353,"1-1324-1020",447,448,"Abdul Qayoum Naderi","عبدالقیوم نادری","عبدالقیوم نادری",246,0.000431311836704637,405,"2019-05-15","Results Status : Certified",162,"ERROR"
"01","Kabul",570353,"1-1679-176",306,306,"Noor Mohammad Ramozi","نور محمد رموزی","نور محمد رموزی",246,0.000431311836704637,405,"2019-05-15","Results Status : Certified",180,"ERROR"
"01","Kabul",570353,"1-1213-174",121,121,"Khatera Isshaqzai","خاطره اسحق زی","خاطره اسحق زی",246,0.000431311836704637,405,"2019-05-15","Results Status : Certified",197,"ERROR"
"01","Kabul",570353,"1-1886-173",463,464,"Yasamin Sarwari","یاسمین سروری","یاسمین سروری",245,0.000429558536555431,406,"2019-05-15","Results Status : Certified",147,"ERROR"
"01","Kabul",570353,"1-1876-138",87,87,"Fazel Menallah Momtaz","فضل من الله ممتاز","فضل من الله ممتاز",245,0.000429558536555431,406,"2019-05-15","Results Status : Certified",195,"ERROR"
"01","Kabul",570353,"1-1096-16",151,151,"Alhaj Shir Aqa Mohammadi","الحاج شیراقا محمدی","الحاج شیراقا محمدی",243,0.00042605193625702,407,"2019-05-15","Results Status : Certified",159,"ERROR"
"01","Kabul",570353,"1-1855-1186",104,104,"Abdul Mujib Safi Babrak","عبدالمجیب صافی ببرک ","عبدالمجیب صافی ببرک ",243,0.00042605193625702,407,"2019-05-15","Results Status : Certified",201,"ERROR"
"01","Kabul",570353,"1-1773-159",742,743,"Abdul Hai Maalek","عبدالحی مالک","عبدالحی مالک",242,0.000424298636107814,408,"2019-05-15","Results Status : Certified",170,"ERROR"
"01","Kabul",570353,"1-1599-36",256,256,"Sayed Mustafa Miri","سید مصطفی میری ","سید مصطفی میری ",242,0.000424298636107814,408,"2019-05-15","Results Status : Certified",162,"ERROR"
"01","Kabul",570353,"1-1032-1049",674,675,"Eng. Azimullah Esmati","انجنیر عظیم الله عصمتی","انجنیر عظیم الله عصمتی",241,0.000422545335958608,409,"2019-05-15","Results Status : Certified",166,"ERROR"
"01","Kabul",570353,"1-1566-58",68,68,"Mohammad Yar Stanikzai","محمد یار ستانکزی ","محمد یار ستانکزی ",241,0.000422545335958608,409,"2019-05-15","Results Status : Certified",162,"ERROR"
"01","Kabul",570353,"1-1800-1165",754,755,"Mohammad Ibrahim Az-har","محمد ابراهیم ازهر","محمد ابراهیم ازهر",240,0.000420792035809402,410,"2019-05-15","Results Status : Certified",148,"ERROR"
"01","Kabul",570353,"1-1323-113",663,664,"Alhaj Mohammad Hashem Karimi","الحاج محمد هاشم  کریمی ","الحاج محمد هاشم  کریمی ",240,0.000420792035809402,410,"2019-05-15","Results Status : Certified",141,"ERROR"
"01","Kabul",570353,"1-1474-220",440,441,"Khwaja Mohammad Musa Fariwar","خواجه محمد موسی فریور","خواجه محمد موسی فریور",240,0.000420792035809402,410,"2019-05-15","Results Status : Certified",180,"ERROR"
"01","Kabul",570353,"1-1252-184",580,581,"Gullabuddin Rasekh","گلاب الدین راسخ","گلاب الدین راسخ",239,0.000419038735660196,411,"2019-05-15","Results Status : Certified",208,"ERROR"
"01","Kabul",570353,"1-1572-26",252,252,"Gen. Mohammad Asef Jabarkhel"," جنرال محمد آصف جبارخیل"," جنرال محمد آصف جبارخیل",239,0.000419038735660196,411,"2019-05-15","Results Status : Certified",196,"ERROR"
"01","Kabul",570353,"1-1643-83",769,770,"Temorshah Ayoubzai","تیمور شاه ایوبزی","تیمور شاه ایوبزی",238,0.000417285435510991,412,"2019-05-15","Results Status : Certified",170,"ERROR"
"01","Kabul",570353,"1-1180-43",459,460,"Dr. Homa Zinat","داکترهما زینت","داکترهما زینت",237,0.000415532135361785,413,"2019-05-15","Results Status : Certified",163,"ERROR"
"01","Kabul",570353,"1-1134-1214",701,702,"Aqa Sayeed Malek Sayed Jaan","آقاسعید ملک سید جان","آقاسعید ملک سید جان",236,0.000413778835212579,414,"2019-05-15","Results Status : Certified",215,"ERROR"
"01","Kabul",570353,"1-1863-111",586,587,"Najibullah Azad","نجیب الله آزاد ","نجیب الله آزاد ",235,0.000412025535063373,415,"2019-05-15","Results Status : Certified",178,"ERROR"
"01","Kabul",570353,"1-1088-177",390,391,"Abdul Baqi Samandar","عبدالباقی سمندر","عبدالباقی سمندر",235,0.000412025535063373,415,"2019-05-15","Results Status : Certified",161,"ERROR"
"01","Kabul",570353,"1-1059-149",723,724,"Ghullam Qader Sakhizadah","غلام قادر سخی زاده ","غلام قادر سخی زاده ",233,0.000408518934764961,416,"2019-05-15","Results Status : Certified",150,"ERROR"
"01","Kabul",570353,"1-1192-180",419,420,"Dr. Maari Vida Safar","داکتر ماری ویدا صفر","داکتر ماری ویدا صفر",233,0.000408518934764961,416,"2019-05-15","Results Status : Certified",168,"ERROR"
"01","Kabul",570353,"1-2009-1107",125,125,"Phd. Mohammad Dawood Rawosh","پوهاند محمد داود راوش ","پوهاند محمد داود راوش ",233,0.000408518934764961,416,"2019-05-15","Results Status : Certified",168,"ERROR"
"01","Kabul",570353,"1-1660-49",435,436,"Hedayatullah Taheri","هدایت الله طاهری ","هدایت الله طاهری ",232,0.000406765634615756,417,"2019-05-15","Results Status : Certified",167,"ERROR"
"01","Kabul",570353,"1-1480-52",69,69,"Alhaj Farid Khan Zurmati","الحاج فرید خان زرمتی","الحاج فرید خان زرمتی",231,0.00040501233446655,418,"2019-05-15","Results Status : Certified",169,"ERROR"
