"province_code","province_name_CSO_421","district_code","district_name_CSO_421","district_name_CSO_OCHA_414","district_name_USFOR_407","district_name_farsi_CSO_421","district_name_pashto_CSO","pop_18_19_421_CSO","pop_18_19_419_CSO","pop_18_19_407_CSO","pop_18_19_399_CSO","pop_16_17_414_CSO-OCHA","pop_16_17_407_CSO-OCHA","pop_16_17_399_CSO-OCHA","pop_Jan_18_407_USFOR","pop_Jan_18_399_USFOR-AGCHO","pop_17_399_iMMAP-AGCHO"
"11","GHAZNI","1115","Muqur","Muqur","Muqur","مقر","د مقر","54919","54919","54919","54919","52204","52204","52204","61000","61000","57000"
"11","GHAZNI","1116","Malistan","Malistan","Malistan","مالستان","د مالستان ","89564","89564","89564","89564","85136","85136","85136","100000","100000","84200"
"11","GHAZNI","1117","Gelan","Gelan","Gelan","گیلان","د گيلان ","63128","63128","63128","63128","60010","60010","60010","71000","71000","88000"
"11","GHAZNI","1118","Ajristan","Ajristan","Ajristan","اجرستان","د اجرستان ","31438","31438","31438","31438","29883","29883","29883","36000","36000","26100"
"11","GHAZNI","1119","Nawa","Nawa","Nawah","ناوه","د ناوي ","32464","32464","32464","32464","30859","30859","30859","36000","36000","42900"
"12","PAKTIKA","1201","Sharan","Paktika Center(Sharan)","Sharan","شرن","شرن","62495","62495","62495","62495","52062","52062","52062","61000","61000","52300"
"12","PAKTIKA","1202","Mata Khan","Mata Khan","Mota Khan","متا خان","د مټا خان ","26259","26259","26259","26259","25858","25858","25858","31000","31000","18600"
"12","PAKTIKA","1203","Yosuf Khel","Yosuf Khel","Yosuf Khel","یوسف خیل","د يوسف خيلو ","28195","28195","28195","28195","14027","14027","14027","17000","17000","26100"
"12","PAKTIKA","1204","Yahya Khel","Yahya Khel","Yahya Khel","یحیی خیل","د يحيی خيلو ","28753","28753","28753","28753","18052","18052","18052","21000","21000","21200"
"12","PAKTIKA","1205","Sar Rawza","Sar Rawza","Sar Rawza","سرروضه","د سرروضى ","35785","35785","35785","35785","24028","24028","24028","28000","28000","18300"
"12","PAKTIKA","1206","Omna","Omna","Omnah","اومنه","د اومنى ","22996","22996","22996","22996","12563","12563","12563","15000","15000","18700"
"12","PAKTIKA","1207","Zarghun Shahr","Zarghun Shahr","Zarghun Shahr","زرغون شهر","د زرغون شهر","40607","40607","40607","40607","30980","30980","30980","36000","36000","32200"
"12","PAKTIKA","1208","Gomal","Gomal","Gomal","گومل","د گومل ","44992","44992","44992","44992","8050","8050","8050","10000","10000","46100"
