2018_IEC_province_code,2012_AGCHO_province_code,2010_IEC_province_code,2010_IEC_district_name_eng,2010_IEC_district_code,2010_IEC_district_code_matched_to_2012_AGCHO_district_code,2010_IEC_district_code_matched_to_2018_IEC_district_code,2012_AGCHO_district_name_eng,2012_AGCHO_district_code,2012_AGCHO_district_code_matched_to_2018_IEC_district_code,2018_IEC_district_name_eng,2018_IEC_district_code,district_name_dari,district_name_pashto,alternate_dari_pashto,district_description_via_Map_Sync_Project
25,22,34,GEZAB,3409,2205,2506,Gizab,2205,2506,Gezab,2507,گیزاب,چنارتو,,"Gizab, Gezab.  (The 399 AGCHO 2012 set and the 407 RS / USFOR-A set show Gizab as including Pato, and in Daikundi.  The 422 AGCHO / ARAZI set shows a rump Gizab, split from Patoo, in Urozgan.  It isn't clear how the Permanent 399 AGCHO / ARAZI means to define Gizab.    Its borders show the original Gizab, including Pato, in Daikundi, but it codes Gizab to Urozgan.  "
24,22,34,NA,NA,NA,2506,NA,NA,2506,Patoo,2409,پاتو,پاتو,,"Patoo, Pato, Patu.  (Patoo is part of Gizab district in the 399 and 407 sets.  It is a ""temporary"" district in the 422 set.)"
33,33,25,PROVINCIAL CENTER (FARAH),2501,3101,3301,Farah,3101,3301,Farah,3301,فراه,فراه,,Farah.
33,33,25,POSHT-I- ROOD,2502,3105,3302,Pushtrod,3105,3302,Pushtrod,3302,پشت رود,پشت رود,,"Pushtrud, Pushtrod, Pusht-e Rod, Pusht Road, Poshtrud."
33,33,25,KHAK-I-SAFEID,2503,3104,3303,Khak-e-Safed,3104,3303,Khak-e-Safed,3303,خاک سفید,خاک سفيد,,"Khak-i-Safed, Khak-e-Safed, Khak-i-Safid."
33,33,25,ANAR DARAH,2504,3111,3307,Anardara,3111,3307,Anardara,3307,اناردره,اناردرى,,"Anar Dara, Anardara."
33,33,25,QALA-I-KAH,2505,3106,3304,Qala-e-Kah,3106,3304,Qala-ye-Kah,3304,قلعه کاه,قلعۀ کاه,,"Qala-i-Kah, Qala-e-Kah, Qalah-e Kah Qul'ah-ye Kah, Pusht Koh."
33,33,25,SHEIB KOH,2506,3107,3305,Shibkoh,3107,3305,Shebkoh,3305,شیب کوه,شيب کوه,,"Shibkoh, Shib Koh, Shayb Koh."
33,33,25,LASH JAWEEN,2507,3108,3309,Lash-e-Juwayn,3108,3309,Lash-e-Juwayn,3309,لاش جو ین,لاش جوين,,"Lash-i-Juwayn, Lash-e-Juwayn, Lash wa Juwayn."
33,33,25,BAKWA,2508,3102,3308,Bakwa,3102,3308,Bakwa,3308,بکواه,بکواه,,Bakwa.
33,33,25,BALA BLOOK,2509,3103,3306,Balabuluk,3103,3306,Balabulok,3306,بالا بلوک,بالا بلوک,,"Bala Buluk, Bala Boluk, Balabuluk."
33,33,25,GULESTAN,2510,3109,3310,Gulestan,3109,3310,Gulistan,3310,گلستان,گلستان,,"Gulistan, Gulestan."
33,33,25,PUR CHAMAN,2511,3110,3311,Purchaman,3110,3311,Purchaman,3311,پرچمن,پرچمن,,"Pur Chaman, Purchaman, Parchaman."
29,28,22,PROVINCIAL CENTER (MAIMANA),2201,2801,2901,Maymana,2801,2901,Maymana,2901,میمنه,میمنه,,"Maimana, Maymana, Maimanah."
29,28,22,PASHTOON KOTT,2202,2803,2902,Pashtunkot,2803,2902,Pashton Kot,2902,پشتون کوت,پشتون کوټ,,"Pashtun Kot, Pashtunkot."
29,28,22,KHUWAJA SABZ POSHE WALI,2203,2802,2903,Khwajasabzposh,2802,2903,Khwaja Sabzposh,2903,خواجه سبزپوش,خواجه سبز پوش ولي,,"Khwaja Sabz Posh, Khwajasabzposh."
29,28,22,ALMAR,2204,2805,2904,Almar,2805,2904,Almar,2904,المار,المار,,Almar.
29,28,22,QAISAR,2205,2806,2907,Qaysar,2806,2907,Qaysar,2907,قیصار,قيصار,,"Qaisar, Qaysar."
29,28,22,KOHISTAN (FARYAB),2206,2807,2910,Kohestan,2807,2910,Kohistan,2910,کوهستان,کوهستان,,"Kohistan, Lowlash,.  (There is also a Kohistanat in Saripul, and two Kohistans in Badakhshan and Kapisa.)"
29,28,22,GARZIWAN,2207,2808,2908,Garziwan,2808,2908,Garzewan,2908,گرزیوان,گرزيوان,,"Gurziwan, Garziwan, Gorzivan."
29,28,22,BALCHERAGH,2208,2809,2905,Bilcheragh,2809,2905,Bilcheragh,2905,بلچراغ,بلچراغ,,"Bilchiragh, Bilcheragh, Bal Chiragh, Belcheragh."
29,28,22,SHERIN TAGAB,2209,2804,2906,Shirintagab,2804,2906,Shiren Tagab,2906,شرین تگاب,شرين تگاب,,"Shirin Tagab, Shirintagab, Sherin Tagab, Sherin Tagau.  (There is also a Tagab in Kapisa and in Badakhshan.)"
29,28,22,DAWLAT ABAD,2210,2810,2909,Dawlatabad,2810,2909,Dawlatabad,2909,دولت آباد,دولت آباد,,"Dawlat Abad, Dawlatabad, Dowlatabad..  (There is also a Dawlatabad in Balkh, and a Dawlatshah district in Laghman, and a Dawlatyar district in Ghor.)"
29,28,22,QARAM QUL,2211,2812,2911,Qaramqol,2812,2911,Qaramqol,2911,قرم قل,قرم قل,,"Qaram Qul, Qaramqol."
