candidate_code,candidate_name_dari,candidate_party_dari,candidate_gender,province_code,province_name_eng,candidate_party_transliterated,candidate_party_eng,notes
1-1669-49,جالت خان شینوزاده,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1069-51,جالل الدین محمودی,مستقل / خپلواک,M,1,Kabul,,Independent,
35-1832-153,جبران,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1337-150,جمال الدین حکمتیار,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1761-143,جمال ناصر مجاهد,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1490-20,جمشید اقبال,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1739-1044,جمشید صوفی زاده,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1422-3066,جمعه خان محمدی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1280-1202,جمیله نورزی روفی,د ملی وحدت ولسی تحریک,F,1,Kabul,,,
1-1214-133,جنرال باز محمد جوهری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1455-132,جنرال ببرک صابر,مستقل / خپلواک,M,1,Kabul,,Independent,
,جنرال زلمی وردک,مستقل / خپلواک,M,1,Kabul,,Independent,MISSING
35-1771-158,جنرال عبدالرشید شجاع,وحدت اسالمی مردم افغانستان,M,1,Kabul,,,
1-1438-254,جنرال عبدالواحد طاقت,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1709-190,جنرال لطف هللا مشعل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1572-26,جنرال محمد آصف جبارخیل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1688-1168,جنرال محمد عالم کهمردی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1228-11,جنرال نظیفه ذکی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1186-37,حاجی اجمل رحمانی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1094-8,حاجی احسان صاحب زاده,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1700-93,حاجی تازه خان زرمتی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1462-29,حاجی جالل الدین صالحی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1257-12,حاجی حمید هللا نوابی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1185-51,حاجی خان محمد وردگ,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1735-1071,حاجی خلیل احمد احمدی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1790-1042,حاجی روح هللا مجاهد,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1691-112,حاجی زربت خروټی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1444-12,حاجی زړگی حبیبی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1445-26,حاجی سردار آغا ناصری,مستقل / خپلواک,M,1,Kabul,,Independent,
